source_family,receipt_id,source_ts,capture_ts,available_to_brain_ts,node_asof_ts,edge_asof_ts,bundle_asof_ts,adapter_created_ts,tradable_after_ts,authority_classification,chain_state
market_ticks_intraday,receipt:market_ticks_intraday:2026-06-24T00:45:00Z,2026-06-23T19:55:00Z,2026-06-24T00:47:31Z,2026-06-24T00:47:31Z,2026-06-24T00:47:31Z,2026-06-24T00:47:31Z,2026-06-24T00:47:31Z,2026-06-24T00:47:31Z,2026-06-24T00:47:32Z,DIAGNOSTIC_SOURCE_EVIDENCE_ONLY,AUDITED_DIAGNOSTIC_ONLY
market_ticks_intraday,receipt:market_ticks_intraday:provider:3fa391c52d011831,2026-06-23T19:55:00Z,2026-06-24T00:46:27.838851Z,2026-06-24T00:46:27.838851Z,2026-06-24T00:46:27Z,2026-06-24T00:46:27Z,2026-06-24T00:46:27Z,2026-06-24T00:46:27Z,2026-06-24T00:46:28Z,DIAGNOSTIC_SOURCE_EVIDENCE_ONLY,AUDITED_DIAGNOSTIC_ONLY
market_ticks_intraday,receipt:market_ticks_intraday:2026-06-24T00:40:00Z,2026-06-23T19:55:00Z,2026-06-24T00:42:50.177443Z,2026-06-24T00:42:50.177443Z,2026-06-24T00:42:50Z,2026-06-24T00:42:50Z,2026-06-24T00:42:50Z,2026-06-24T00:42:50Z,2026-06-24T00:42:51Z,DIAGNOSTIC_SOURCE_EVIDENCE_ONLY,AUDITED_DIAGNOSTIC_ONLY
market_ticks_intraday,receipt:market_ticks_intraday:provider:04917627016c3c8e,2026-06-23T19:55:00Z,2026-06-24T00:41:28.713117Z,2026-06-24T00:41:28.713117Z,2026-06-24T00:41:28Z,2026-06-24T00:41:28Z,2026-06-24T00:41:28Z,2026-06-24T00:41:28Z,2026-06-24T00:41:29Z,DIAGNOSTIC_SOURCE_EVIDENCE_ONLY,AUDITED_DIAGNOSTIC_ONLY
market_ticks_intraday,receipt:market_ticks_intraday:2026-06-24T00:35:00Z,2026-06-23T19:55:00Z,2026-06-24T00:37:50.501076Z,2026-06-24T00:37:50.501076Z,2026-06-24T00:37:50Z,2026-06-24T00:37:50Z,2026-06-24T00:37:50Z,2026-06-24T00:37:50Z,2026-06-24T00:37:51Z,DIAGNOSTIC_SOURCE_EVIDENCE_ONLY,AUDITED_DIAGNOSTIC_ONLY
market_ticks_intraday,receipt:market_ticks_intraday:provider:a39fff4207179a2d,2026-06-23T19:55:00Z,2026-06-24T00:36:27.722978Z,2026-06-24T00:36:27.722978Z,2026-06-24T00:36:27Z,2026-06-24T00:36:27Z,2026-06-24T00:36:27Z,2026-06-24T00:36:27Z,2026-06-24T00:36:28Z,DIAGNOSTIC_SOURCE_EVIDENCE_ONLY,AUDITED_DIAGNOSTIC_ONLY
market_ticks_intraday,receipt:market_ticks_intraday:2026-06-24T00:30:00Z,2026-06-23T19:55:00Z,2026-06-24T00:32:47.268066Z,2026-06-24T00:32:47.268066Z,2026-06-24T00:32:47Z,2026-06-24T00:32:47Z,2026-06-24T00:32:47Z,2026-06-24T00:32:47Z,2026-06-24T00:32:48Z,DIAGNOSTIC_SOURCE_EVIDENCE_ONLY,AUDITED_DIAGNOSTIC_ONLY
market_ticks_intraday,receipt:market_ticks_intraday:provider:fc8e2a1ceab1013d,2026-06-23T19:55:00Z,2026-06-24T00:31:11.317207Z,2026-06-24T00:31:11.317207Z,2026-06-24T00:31:11Z,2026-06-24T00:31:11Z,2026-06-24T00:31:11Z,2026-06-24T00:31:11Z,2026-06-24T00:31:12Z,DIAGNOSTIC_SOURCE_EVIDENCE_ONLY,AUDITED_DIAGNOSTIC_ONLY
market_ticks_intraday,receipt:market_ticks_intraday:2026-06-24T00:25:00Z,2026-06-23T19:55:00Z,2026-06-24T00:27:29.429033Z,2026-06-24T00:27:29.429033Z,2026-06-24T00:27:29Z,2026-06-24T00:27:29Z,2026-06-24T00:27:29Z,2026-06-24T00:27:29Z,2026-06-24T00:27:30Z,DIAGNOSTIC_SOURCE_EVIDENCE_ONLY,AUDITED_DIAGNOSTIC_ONLY
market_ticks_intraday,receipt:market_ticks_intraday:provider:a4720ffff8c1c589,2026-06-23T19:55:00Z,2026-06-24T00:26:25.318300Z,2026-06-24T00:26:25.318300Z,2026-06-24T00:26:25Z,2026-06-24T00:26:25Z,2026-06-24T00:26:25Z,2026-06-24T00:26:25Z,2026-06-24T00:26:26Z,DIAGNOSTIC_SOURCE_EVIDENCE_ONLY,AUDITED_DIAGNOSTIC_ONLY
market_ticks_intraday,receipt:market_ticks_intraday:2026-06-24T00:20:00Z,2026-06-23T19:55:00Z,2026-06-24T00:22:47.542462Z,2026-06-24T00:22:47.542462Z,2026-06-24T00:22:47Z,2026-06-24T00:22:47Z,2026-06-24T00:22:47Z,2026-06-24T00:22:47Z,2026-06-24T00:22:48Z,DIAGNOSTIC_SOURCE_EVIDENCE_ONLY,AUDITED_DIAGNOSTIC_ONLY
market_ticks_intraday,receipt:market_ticks_intraday:provider:c5b1258c0ea1e126,2026-06-23T19:55:00Z,2026-06-24T00:21:29.151233Z,2026-06-24T00:21:29.151233Z,2026-06-24T00:21:29Z,2026-06-24T00:21:29Z,2026-06-24T00:21:29Z,2026-06-24T00:21:29Z,2026-06-24T00:21:30Z,DIAGNOSTIC_SOURCE_EVIDENCE_ONLY,AUDITED_DIAGNOSTIC_ONLY
market_ticks_intraday,receipt:market_ticks_intraday:2026-06-24T00:15:00Z,2026-06-23T19:55:00Z,2026-06-24T00:16:51.068606Z,2026-06-24T00:16:51.068606Z,2026-06-24T00:16:51Z,2026-06-24T00:16:51Z,2026-06-24T00:16:51Z,2026-06-24T00:16:51Z,2026-06-24T00:16:52Z,DIAGNOSTIC_SOURCE_EVIDENCE_ONLY,AUDITED_DIAGNOSTIC_ONLY
market_ticks_intraday,receipt:market_ticks_intraday:provider:4e66528e20a5563c,2026-06-23T19:55:00Z,2026-06-24T00:15:47.871362Z,2026-06-24T00:15:47.871362Z,2026-06-24T00:15:47Z,2026-06-24T00:15:47Z,2026-06-24T00:15:47Z,2026-06-24T00:15:47Z,2026-06-24T00:15:48Z,DIAGNOSTIC_SOURCE_EVIDENCE_ONLY,AUDITED_DIAGNOSTIC_ONLY
market_ticks_intraday,receipt:market_ticks_intraday:2026-06-24T00:10:00Z,2026-06-23T19:55:00Z,2026-06-24T00:13:11.208510Z,2026-06-24T00:13:11.208510Z,2026-06-24T00:13:11Z,2026-06-24T00:13:11Z,2026-06-24T00:13:11Z,2026-06-24T00:13:11Z,2026-06-24T00:13:12Z,DIAGNOSTIC_SOURCE_EVIDENCE_ONLY,AUDITED_DIAGNOSTIC_ONLY
market_ticks_intraday,receipt:market_ticks_intraday:provider:f55d850f7dbd0328,2026-06-23T19:55:00Z,2026-06-24T00:11:34.998694Z,2026-06-24T00:11:34.998694Z,2026-06-24T00:11:34Z,2026-06-24T00:11:34Z,2026-06-24T00:11:34Z,2026-06-24T00:11:34Z,2026-06-24T00:11:35Z,DIAGNOSTIC_SOURCE_EVIDENCE_ONLY,AUDITED_DIAGNOSTIC_ONLY
market_ticks_intraday,receipt:market_ticks_intraday:2026-06-24T00:05:00Z,2026-06-23T19:55:00Z,2026-06-24T00:07:56.615835Z,2026-06-24T00:07:56.615835Z,2026-06-24T00:07:56Z,2026-06-24T00:07:56Z,2026-06-24T00:07:56Z,2026-06-24T00:07:56Z,2026-06-24T00:07:57Z,DIAGNOSTIC_SOURCE_EVIDENCE_ONLY,AUDITED_DIAGNOSTIC_ONLY
market_ticks_intraday,receipt:market_ticks_intraday:provider:955eba09698490d2,2026-06-23T19:55:00Z,2026-06-24T00:06:23.985006Z,2026-06-24T00:06:23.985006Z,2026-06-24T00:06:23Z,2026-06-24T00:06:23Z,2026-06-24T00:06:23Z,2026-06-24T00:06:23Z,2026-06-24T00:06:24Z,DIAGNOSTIC_SOURCE_EVIDENCE_ONLY,AUDITED_DIAGNOSTIC_ONLY
market_ticks_intraday,receipt:market_ticks_intraday:2026-06-24T00:00:00Z,2026-06-23T19:55:00Z,2026-06-24T00:04:47.729089Z,2026-06-24T00:04:47.729089Z,2026-06-24T00:04:47Z,2026-06-24T00:04:47Z,2026-06-24T00:04:47Z,2026-06-24T00:04:47Z,2026-06-24T00:04:48Z,DIAGNOSTIC_SOURCE_EVIDENCE_ONLY,AUDITED_DIAGNOSTIC_ONLY
