task_id,raw_path,raw_sha256,raw_bytes,secret_scan_status,classification,strict_gate_opened
TASK-4125,data/raw/task_4125_l0_stage_5_full_2016_to_present_backfill_continuation/public_context_news_backfill/provider=public_context_news_feeds/source=cftc_press_releases/capability=backfill_archive_page/captured_at=20260629T082010650766Z/metadata.json,c0176a5ba5e4207385c1e3ad5b421168c94b8241f0815029901d5550bbd747d0,1299,PASS,RAW_BACKFILL_RESPONSE_OR_AUDIT_ARTIFACT,0
TASK-4125,data/raw/task_4125_l0_stage_5_full_2016_to_present_backfill_continuation/public_context_news_backfill/provider=public_context_news_feeds/source=cftc_press_releases/capability=backfill_archive_page/captured_at=20260629T082010650766Z/response.bin,00ea30436093aa20fd2fc67d4f011f94dca8948200f12be50fed7ac046393e56,66688,PASS,RAW_BACKFILL_RESPONSE_OR_AUDIT_ARTIFACT,0
TASK-4125,data/raw/task_4125_l0_stage_5_full_2016_to_present_backfill_continuation/public_context_news_backfill/provider=public_context_news_feeds/source=cftc_press_releases/capability=backfill_archive_page/captured_at=20260629T082552399296Z/metadata.json,caa45ecb8548a8574d6573b4dcad9e951bcd360fab71a77ae9020a05311527e9,1299,PASS,RAW_BACKFILL_RESPONSE_OR_AUDIT_ARTIFACT,0
TASK-4125,data/raw/task_4125_l0_stage_5_full_2016_to_present_backfill_continuation/public_context_news_backfill/provider=public_context_news_feeds/source=cftc_press_releases/capability=backfill_archive_page/captured_at=20260629T082552399296Z/response.bin,0040f737b541ac602909d1bdc960d129edec8bcb12f960b4a008947842530adc,67790,PASS,RAW_BACKFILL_RESPONSE_OR_AUDIT_ARTIFACT,0
TASK-4125,data/raw/task_4125_l0_stage_5_full_2016_to_present_backfill_continuation/public_context_news_backfill/provider=public_context_news_feeds/source=cftc_press_releases/capability=backfill_archive_page/captured_at=20260629T082554229910Z/metadata.json,ec712f5e80ec4956fc21e1c0311df25f32c8f9b118ba4f819133ec49d5a8879a,1299,PASS,RAW_BACKFILL_RESPONSE_OR_AUDIT_ARTIFACT,0
TASK-4125,data/raw/task_4125_l0_stage_5_full_2016_to_present_backfill_continuation/public_context_news_backfill/provider=public_context_news_feeds/source=cftc_press_releases/capability=backfill_archive_page/captured_at=20260629T082554229910Z/response.bin,28c50b558be4052bc634010d068858d5257cf247455f56943d699ab62587c604,66539,PASS,RAW_BACKFILL_RESPONSE_OR_AUDIT_ARTIFACT,0
TASK-4125,data/raw/task_4125_l0_stage_5_full_2016_to_present_backfill_continuation/public_context_news_backfill/provider=public_context_news_feeds/source=cftc_press_releases/capability=backfill_archive_page/captured_at=20260629T082556089375Z/metadata.json,b1533b540d5f36d9207a59db8bb551433af73f2b60aa27666f93b96d8a2ecc0e,1299,PASS,RAW_BACKFILL_RESPONSE_OR_AUDIT_ARTIFACT,0
TASK-4125,data/raw/task_4125_l0_stage_5_full_2016_to_present_backfill_continuation/public_context_news_backfill/provider=public_context_news_feeds/source=cftc_press_releases/capability=backfill_archive_page/captured_at=20260629T082556089375Z/response.bin,2f210809c182f712ce7f44205d436f13ee4b98202647d06aded037f6519bffa0,65202,PASS,RAW_BACKFILL_RESPONSE_OR_AUDIT_ARTIFACT,0
TASK-4125,data/raw/task_4125_l0_stage_5_full_2016_to_present_backfill_continuation/public_context_news_backfill/provider=public_context_news_feeds/source=cftc_press_releases/capability=backfill_archive_page/captured_at=20260629T082557870448Z/metadata.json,cc9fa60ed9d61c7941d7c6235d1b03ae0e442a55e42e9a096a72f4cec32a6eb7,1299,PASS,RAW_BACKFILL_RESPONSE_OR_AUDIT_ARTIFACT,0
TASK-4125,data/raw/task_4125_l0_stage_5_full_2016_to_present_backfill_continuation/public_context_news_backfill/provider=public_context_news_feeds/source=cftc_press_releases/capability=backfill_archive_page/captured_at=20260629T082557870448Z/response.bin,9e9231eb180361f9432480c03b22808d3f8d643513e0b41a7c8df0d38c05677e,65145,PASS,RAW_BACKFILL_RESPONSE_OR_AUDIT_ARTIFACT,0
TASK-4125,data/raw/task_4125_l0_stage_5_full_2016_to_present_backfill_continuation/public_context_news_backfill/provider=public_context_news_feeds/source=cftc_press_releases/capability=backfill_archive_page/captured_at=20260629T082559686873Z/metadata.json,18b7acc6e0a8df05d77b12e474228ed246dc252979f9165756b560d176609d54,1299,PASS,RAW_BACKFILL_RESPONSE_OR_AUDIT_ARTIFACT,0
TASK-4125,data/raw/task_4125_l0_stage_5_full_2016_to_present_backfill_continuation/public_context_news_backfill/provider=public_context_news_feeds/source=cftc_press_releases/capability=backfill_archive_page/captured_at=20260629T082559686873Z/response.bin,6b6d731f5c21daec38afee2b70f50c589caf62fd23e0e8ee1c794dd4a94d51d5,65112,PASS,RAW_BACKFILL_RESPONSE_OR_AUDIT_ARTIFACT,0
TASK-4125,data/raw/task_4125_l0_stage_5_full_2016_to_present_backfill_continuation/public_context_news_backfill/provider=public_context_news_feeds/source=cftc_press_releases/capability=backfill_archive_page/captured_at=20260629T082601571341Z/metadata.json,03d754e3e3bf5afcb7f2ddd854d7fa7bdf01d00554caa01df2919ae079fcddee,1299,PASS,RAW_BACKFILL_RESPONSE_OR_AUDIT_ARTIFACT,0
TASK-4125,data/raw/task_4125_l0_stage_5_full_2016_to_present_backfill_continuation/public_context_news_backfill/provider=public_context_news_feeds/source=cftc_press_releases/capability=backfill_archive_page/captured_at=20260629T082601571341Z/response.bin,e99322cf3b17bcc1f1a06041b5069c0793253123a6cf2d825277587435d02e85,65260,PASS,RAW_BACKFILL_RESPONSE_OR_AUDIT_ARTIFACT,0
TASK-4125,data/raw/task_4125_l0_stage_5_full_2016_to_present_backfill_continuation/public_context_news_backfill/provider=public_context_news_feeds/source=cftc_press_releases/capability=backfill_archive_page/captured_at=20260629T082603508653Z/metadata.json,56344a00f2b9213fef02cd3a2d9e87046ccc6a2297969256185a9798736a8056,1299,PASS,RAW_BACKFILL_RESPONSE_OR_AUDIT_ARTIFACT,0
