relative_path,artifact_class,size_bytes,sha256
artifact_manifest.csv,small_table,1237,f679b6a6cbd4d11616e9d2de2ea46483f722ca451ff7eda87ed7d6fdf822fc15
gpt_review_notes.md,report,726,65d14f204bfdd135756e1b57373b580f0119fb5da33bb6494874668ceaa81a58
gpt_review_task759_760_762_summary.csv,small_table,1690,e95688aaa8124fb7ed41ad92a34ff5433d4790dae15200424e7132a0fb75eb86
gpt_review_task762_code_repair_summary.csv,small_table,1268,1d57fda70fbed4fc4fffcfb6147bb825e68c22d39a02e0c9822ff3e3a4b3deab
gpt_review_task763_765_summary.csv,small_table,1016,ac243e749ed4b46e2c23c00213fa347abb4a33e0a00ba3295e261cd65e693fc7
gpt_review_task769_771_summary.csv,small_table,1589,d7e9e8cd79a90ec64f004394931d5a3d48daf4d6ecf6d386704baf19d0e93f89
step_registry.csv,small_table,9992,70d5b5364425f1cb6ede3b9b0cd8d2eaeca23a7462a79ebb2878f992486f10ee
subagent_packet_plan.md,report,1797,6845bf178522e5c39642258f0bafefdc44787fde68627d2618407d72ab40d188
task756_summary.csv,small_table,1152,7b01a04f312536e397e12d0856fbf0c043d2382c7251229a70bea634cc2e71d5
task_756_decision.csv,decision,279,0601027fd2201615eaaba1eac6473c97bd820bee36c46e56bd1f5298f3f086f8
task_756_trader_brain_15_step_program.md,report,5421,bb3753661eb634e116877ef77e47621b76e818380140eb6cfdc97731550048ff
validation_log.md,report,358,2a6e2619c0a6518591ba78390a34e548754f36798eb90bdb43a1b2a217267c02
