slot_decision_explanation_id,lifecycle_id,symbol,entry_ts,entry_ts_utc,theme_id,split_name,candidate_role,slot_claim_basis,slot_risk_basis,replacement_hurdle_required_flag,same_entry_candidate_count,same_entry_theme_count,same_entry_relation_count,active_theme_count,active_relation_count,bundle_assignment_ready_flag,do_not_trade_reason,setup_quality_bucket,action_family,allowed_inputs_only_flag,outcome_used_flag,future_price_used_flag,label_used_flag
TASK617|GE|20240304T143000Z|slot_decision_explanation,TASK617|GE|20240304T143000Z,GE,2024-03-06 14:30:00+00:00,2024-03-04 14:30:00+00:00,industrial_automation_robotics,train_design,priority_candidate,setup=high_quality_setup|catalyst=contract_supply_combo|price=price_confirmed_but_extended|theme=participating_theme|relation=relation_reinforcing,capacity=slot_competition_low|same_entry_candidates=1|active_relations=0|risk=extension_proxy|microstructure=SOURCE_PENDING_NOT_USED,0,1,1,1,0,0,1,,high_quality_setup,STRENGTH_HOLD_CANDIDATE,1,0,0,0
TASK617|GE|20240305T144500Z|slot_decision_explanation,TASK617|GE|20240305T144500Z,GE,2024-03-07 14:30:00+00:00,2024-03-05 14:45:00+00:00,industrial_automation_robotics,train_design,priority_candidate,setup=high_quality_setup|catalyst=contract_supply_combo|price=price_confirmed_basic|theme=participating_theme|relation=relation_reinforcing,capacity=slot_competition_low|same_entry_candidates=1|active_relations=0|risk=proxy_neutral|microstructure=SOURCE_PENDING_NOT_USED,0,1,1,1,0,0,1,,high_quality_setup,STRENGTH_HOLD_CANDIDATE,1,0,0,0
TASK617|GE|20240306T143000Z|slot_decision_explanation,TASK617|GE|20240306T143000Z,GE,2024-03-08 14:30:00+00:00,2024-03-06 14:30:00+00:00,industrial_automation_robotics,train_design,priority_candidate,setup=high_quality_setup|catalyst=contract_supply_combo|price=price_confirmed_basic|theme=participating_theme|relation=relation_reinforcing,capacity=slot_competition_low|same_entry_candidates=1|active_relations=0|risk=proxy_neutral|microstructure=SOURCE_PENDING_NOT_USED,0,1,1,1,0,0,1,,high_quality_setup,STRENGTH_HOLD_CANDIDATE,1,0,0,0
TASK617|GE|20240307T164500Z|slot_decision_explanation,TASK617|GE|20240307T164500Z,GE,2024-03-11 14:30:00+00:00,2024-03-07 16:45:00+00:00,industrial_automation_robotics,train_design,priority_candidate,setup=high_quality_setup|catalyst=contract_supply_combo|price=price_confirmed_basic|theme=participating_theme|relation=relation_reinforcing,capacity=slot_competition_low|same_entry_candidates=1|active_relations=0|risk=proxy_neutral|microstructure=SOURCE_PENDING_NOT_USED,0,1,1,1,0,0,1,,high_quality_setup,STRENGTH_HOLD_CANDIDATE,1,0,0,0
TASK617|GE|20240313T134500Z|slot_decision_explanation,TASK617|GE|20240313T134500Z,GE,2024-03-15 14:30:00+00:00,2024-03-13 13:45:00+00:00,industrial_automation_robotics,train_design,priority_candidate,setup=high_quality_setup|catalyst=contract_supply_combo|price=price_confirmed_but_extended|theme=participating_theme|relation=relation_reinforcing,capacity=slot_competition_low|same_entry_candidates=1|active_relations=0|risk=extension_proxy|microstructure=SOURCE_PENDING_NOT_USED,0,1,1,1,0,0,1,,high_quality_setup,STRENGTH_HOLD_CANDIDATE,1,0,0,0
TASK617|GE|20240318T140000Z|slot_decision_explanation,TASK617|GE|20240318T140000Z,GE,2024-03-20 14:30:00+00:00,2024-03-18 14:00:00+00:00,industrial_automation_robotics,train_design,priority_candidate,setup=high_quality_setup|catalyst=contract_supply_combo|price=price_confirmed_but_extended|theme=participating_theme|relation=relation_reinforcing,capacity=slot_competition_low|same_entry_candidates=1|active_relations=0|risk=extension_proxy|microstructure=SOURCE_PENDING_NOT_USED,0,1,1,1,0,0,1,,high_quality_setup,STRENGTH_HOLD_CANDIDATE,1,0,0,0
TASK617|GE|20240319T140000Z|slot_decision_explanation,TASK617|GE|20240319T140000Z,GE,2024-03-21 14:30:00+00:00,2024-03-19 14:00:00+00:00,industrial_automation_robotics,train_design,priority_candidate,setup=high_quality_setup|catalyst=contract_supply_combo|price=price_confirmed_basic|theme=participating_theme|relation=relation_reinforcing,capacity=slot_competition_low|same_entry_candidates=1|active_relations=0|risk=proxy_neutral|microstructure=SOURCE_PENDING_NOT_USED,0,1,1,1,0,0,1,,high_quality_setup,STRENGTH_HOLD_CANDIDATE,1,0,0,0
TASK617|GE|20240320T134500Z|slot_decision_explanation,TASK617|GE|20240320T134500Z,GE,2024-03-22 14:30:00+00:00,2024-03-20 13:45:00+00:00,industrial_automation_robotics,train_design,priority_candidate,setup=high_quality_setup|catalyst=contract_supply_combo|price=price_confirmed_but_extended|theme=participating_theme|relation=relation_reinforcing,capacity=slot_competition_low|same_entry_candidates=1|active_relations=0|risk=extension_proxy|microstructure=SOURCE_PENDING_NOT_USED,0,1,1,1,0,0,1,,high_quality_setup,STRENGTH_HOLD_CANDIDATE,1,0,0,0
TASK617|GE|20240403T134500Z|slot_decision_explanation,TASK617|GE|20240403T134500Z,GE,2024-04-05 14:30:00+00:00,2024-04-03 13:45:00+00:00,industrial_automation_robotics,train_design,confirmation_required_candidate,setup=medium_quality_setup|catalyst=guidance_margin_upgrade|price=price_confirmed_but_extended|theme=participating_theme|relation=company_positive_confirmation_needed,capacity=slot_competition_low|same_entry_candidates=1|active_relations=0|risk=extension_proxy|microstructure=SOURCE_PENDING_NOT_USED,0,1,1,1,0,0,1,,medium_quality_setup,BASELINE_ALLOWED,1,0,0,0
TASK617|GE|20240404T134500Z|slot_decision_explanation,TASK617|GE|20240404T134500Z,GE,2024-04-08 14:30:00+00:00,2024-04-04 13:45:00+00:00,industrial_automation_robotics,train_design,normal_candidate,setup=research_only_setup|catalyst=guidance_margin_upgrade|price=price_confirmed_basic|theme=fading_leadership|relation=relation_sparse_research_only,capacity=slot_competition_low|same_entry_candidates=1|active_relations=0|risk=proxy_neutral|microstructure=SOURCE_PENDING_NOT_USED,0,1,1,1,0,0,1,,research_only_setup,RESEARCH_ONLY,1,0,0,0
