created_at,decision_id,decision_status,symbol,side,quantity,limit_price,reason_code,reason_detail,entry_allowed,data_fresh,selected_for_portfolio,score,source_snapshot_id,source_price_ts,source_type,regime_state,intraday_state,runtime_state_capture_status,state_source_snapshot_id
2026-06-02T19:46:36.746710Z,decision-8abaf6c6664649bf,NO_TRADE,AMD,NONE,0,516.23,STRATEGY_FILTER_NOT_MET,NO_ENTRY,0,1,1,0.5,2026-06-02T19:46:25.518476Z:AMD,2026-06-02T19:35:00Z,KIS_CURRENT_PRICE_APPENDED,constructive_risk_on|persistent_theme_leader,intraday_breakout_acceptance,CAPTURED,Task567:AMD:2026-05-06 04:00:00+00:00
2026-06-02T19:41:15.387484Z,decision-55b6560c78804291,NO_TRADE,AMD,NONE,0,516.23,STRATEGY_FILTER_NOT_MET,NO_ENTRY,0,1,1,0.5,2026-06-02T19:41:04.152486Z:AMD,2026-06-02T19:35:00Z,KIS_CURRENT_PRICE_APPENDED,constructive_risk_on|persistent_theme_leader,intraday_breakout_acceptance,CAPTURED,Task567:AMD:2026-05-06 04:00:00+00:00
2026-06-02T19:35:56.598191Z,decision-9aa51c81825548ea,NO_TRADE,AMD,NONE,0,516.23,STRATEGY_FILTER_NOT_MET,NO_ENTRY,0,1,1,0.5,2026-06-02T19:35:44.994949Z:AMD,2026-06-02T19:35:00Z,KIS_CURRENT_PRICE_APPENDED,constructive_risk_on|persistent_theme_leader,intraday_breakout_acceptance,CAPTURED,Task567:AMD:2026-05-06 04:00:00+00:00
2026-06-02T19:30:34.629248Z,decision-c08b0005becb40e0,NO_TRADE,AMZN,NONE,0,257.96,STRATEGY_FILTER_NOT_MET,NO_ENTRY,0,1,1,0.49375,2026-06-02T19:30:23.898853Z:AMZN,2026-06-02T19:25:00Z,KIS_CURRENT_PRICE_APPENDED,constructive_risk_on|theme_participation,intraday_breakout_acceptance,CAPTURED,Task567:AMZN:2026-05-08 04:00:00+00:00
2026-06-02T19:25:13.914487Z,decision-7260f6771fb840c1,NO_TRADE,AMZN,NONE,0,257.96,STRATEGY_FILTER_NOT_MET,NO_ENTRY,0,1,1,0.49375,2026-06-02T19:25:03.046103Z:AMZN,2026-06-02T19:25:00Z,KIS_CURRENT_PRICE_APPENDED,constructive_risk_on|theme_participation,intraday_breakout_acceptance,CAPTURED,Task567:AMZN:2026-05-08 04:00:00+00:00
2026-06-02T19:19:50.448348Z,decision-b4d006ec535f4689,PAPER_ORDER_CANDIDATE,AMD,BUY,1,517.9201,RUNTIME_SIGNAL_SELECTED,BREAKOUT + MA_TREND,1,1,1,0.5,2026-06-02T19:19:39.584871Z:AMD,2026-06-02T19:10:00Z,KIS_CURRENT_PRICE_APPENDED,constructive_risk_on|persistent_theme_leader,intraday_breakout_acceptance,CAPTURED,Task567:AMD:2026-05-06 04:00:00+00:00
2026-06-02T19:14:27.056258Z,decision-6269ce23bce749ea,PAPER_ORDER_CANDIDATE,AMD,BUY,1,517.9201,RUNTIME_SIGNAL_SELECTED,BREAKOUT + MA_TREND,1,1,1,0.5,2026-06-02T19:14:15.625147Z:AMD,2026-06-02T19:10:00Z,KIS_CURRENT_PRICE_APPENDED,constructive_risk_on|persistent_theme_leader,intraday_breakout_acceptance,CAPTURED,Task567:AMD:2026-05-06 04:00:00+00:00
2026-06-02T19:09:05.586728Z,decision-8c60a96fa993414a,NO_TRADE,AMZN,NONE,0,258.28,STRATEGY_FILTER_NOT_MET,NO_ENTRY,0,1,1,0.49375,2026-06-02T19:08:54.798242Z:AMZN,2026-06-02T19:05:00Z,KIS_CURRENT_PRICE_APPENDED,constructive_risk_on|theme_participation,intraday_breakout_acceptance,CAPTURED,Task567:AMZN:2026-05-08 04:00:00+00:00
2026-06-02T19:03:45.487308Z,decision-fb2b729fc2ed4570,NO_TRADE,MSFT,NONE,0,441.28,STRATEGY_FILTER_NOT_MET,NO_ENTRY,0,1,1,0.49374999999999997,2026-06-02T19:03:34.512747Z:MSFT,2026-06-02T19:00:00Z,KIS_CURRENT_PRICE_APPENDED,constructive_risk_on|theme_participation,intraday_breakout_acceptance,CAPTURED,Task567:MSFT:2026-05-04 04:00:00+00:00
2026-06-02T18:58:26.554481Z,decision-e8db468d4f9746e9,NO_TRADE,AMD,NONE,0,514.86,STRATEGY_FILTER_NOT_MET,NO_ENTRY,0,1,1,0.5,2026-06-02T18:58:16.160561Z:AMD,2026-06-02T18:45:00Z,KIS_CURRENT_PRICE_APPENDED,constructive_risk_on|persistent_theme_leader,intraday_breakout_acceptance,CAPTURED,Task567:AMD:2026-05-06 04:00:00+00:00
