path,tracked,git_status,category,recommended_action,destructive_action_permitted,notes
GENTS.md,false,M,repo_file,NO_ACTION_CLASSIFIED,false,"Classification only; do not remove, move, or rewrite from this output."
asks/task_registry.csv,false,M,repo_file,NO_ACTION_CLASSIFIED,false,"Classification only; do not remove, move, or rewrite from this output."
data/artifacts/task_3836_frontend_actual_screenshot_capture/after/brain__iphone-15-width__393x852.png,true,tracked,generated_artifact,MANIFEST_AND_IGNORE_REVIEW,false,"Classification only; do not remove, move, or rewrite from this output."
data/artifacts/task_3836_frontend_actual_screenshot_capture/after/brain__iphone-se-width__375x667.png,true,tracked,generated_artifact,MANIFEST_AND_IGNORE_REVIEW,false,"Classification only; do not remove, move, or rewrite from this output."
data/artifacts/task_3836_frontend_actual_screenshot_capture/after/candidate-detail__iphone-15-width__393x852.png,true,tracked,generated_artifact,MANIFEST_AND_IGNORE_REVIEW,false,"Classification only; do not remove, move, or rewrite from this output."
data/artifacts/task_3836_frontend_actual_screenshot_capture/after/candidate-detail__iphone-se-width__375x667.png,true,tracked,generated_artifact,MANIFEST_AND_IGNORE_REVIEW,false,"Classification only; do not remove, move, or rewrite from this output."
data/artifacts/task_3836_frontend_actual_screenshot_capture/after/chain-detail__iphone-15-width__393x852.png,true,tracked,generated_artifact,MANIFEST_AND_IGNORE_REVIEW,false,"Classification only; do not remove, move, or rewrite from this output."
data/artifacts/task_3836_frontend_actual_screenshot_capture/after/chain-detail__iphone-se-width__375x667.png,true,tracked,generated_artifact,MANIFEST_AND_IGNORE_REVIEW,false,"Classification only; do not remove, move, or rewrite from this output."
data/artifacts/task_3836_frontend_actual_screenshot_capture/after/contact_sheet_iphone15_width_after.png,true,tracked,generated_artifact,MANIFEST_AND_IGNORE_REVIEW,false,"Classification only; do not remove, move, or rewrite from this output."
data/artifacts/task_3836_frontend_actual_screenshot_capture/after/home__iphone-15-width__393x852.png,true,tracked,generated_artifact,MANIFEST_AND_IGNORE_REVIEW,false,"Classification only; do not remove, move, or rewrite from this output."
data/artifacts/task_3836_frontend_actual_screenshot_capture/after/home__iphone-se-width__375x667.png,true,tracked,generated_artifact,MANIFEST_AND_IGNORE_REVIEW,false,"Classification only; do not remove, move, or rewrite from this output."
data/artifacts/task_3836_frontend_actual_screenshot_capture/after/order-detail__iphone-15-width__393x852.png,true,tracked,generated_artifact,MANIFEST_AND_IGNORE_REVIEW,false,"Classification only; do not remove, move, or rewrite from this output."
data/artifacts/task_3836_frontend_actual_screenshot_capture/after/order-detail__iphone-se-width__375x667.png,true,tracked,generated_artifact,MANIFEST_AND_IGNORE_REVIEW,false,"Classification only; do not remove, move, or rewrite from this output."
data/artifacts/task_3836_frontend_actual_screenshot_capture/after/orders__iphone-15-width__393x852.png,true,tracked,generated_artifact,MANIFEST_AND_IGNORE_REVIEW,false,"Classification only; do not remove, move, or rewrite from this output."
data/artifacts/task_3836_frontend_actual_screenshot_capture/after/orders__iphone-se-width__375x667.png,true,tracked,generated_artifact,MANIFEST_AND_IGNORE_REVIEW,false,"Classification only; do not remove, move, or rewrite from this output."
data/artifacts/task_3836_frontend_actual_screenshot_capture/after/portfolio__iphone-15-width__393x852.png,true,tracked,generated_artifact,MANIFEST_AND_IGNORE_REVIEW,false,"Classification only; do not remove, move, or rewrite from this output."
