requirement,evidence,status,notes
Active entry point is clear,docs/active/README_ACTIVE.md,PROVEN,Read-first list has five default files.
Current status boundaries are visible,docs/active/PROJECT_STATUS.md,PROVEN,NOT_ACCEPTED DIAGNOSTIC_ONLY_NOT_DEPLOYMENT_READY and FORBIDDEN are visible.
Source-of-truth hierarchy is explicit,docs/active/ACTIVE_SSOT_INDEX.md,PROVEN,Active canonical navigation diagnostic and superseded layers are separated.
Default Codex read scope is small,docs/active/CODEX_READ_SCOPE.md,PROVEN,Default scope is four active docs plus the edited target.
Current task queue exists,tasks/active_task_registry.csv,PROVEN,Rows exist for A001 through A004 with status/report links.
Active registry has machine validation,scripts/active_task_registry_validate.py,PROVEN,New validator checks columns statuses report paths and visible active or blocked work.
Cleanup deletion was conservative,docs/reports/A002_A003_safe_archive_delete_pass/deletion_log.csv,PROVEN,Only generated cache/marker paths were deleted.
Review-only delete candidates remain preserved,docs/reports/A002_A003_safe_archive_delete_pass/skipped_delete_candidates.csv,PROVEN,Seven NEEDS_REVIEW rows remain skipped.
Archive relocation avoided stale references,docs/reports/A002_A003_safe_archive_delete_pass/archive_relocation_log.csv,PROVEN,Ten archive candidates were skipped due reference_required.
Future archive work has a blocker,docs/active/CURRENT_TASKS.md,PROVEN,A002 remains blocked_reference_required.
Stale task recommendations were removed,docs/active/CURRENT_TASKS.md,PROVEN,A002/A003 are no longer listed as next recommended tasks.
Governance audit includes active layer,scripts/governance_completion_audit.py,PROVEN,Active docs and active registry validator are now part of governance audit.
CodeRabbit review completed,docs/reports/A004_project_management_system_audit/coderabbit_status.md,NOT_PROVEN,WSL CLI installed but review authentication timed out; no CodeRabbit findings were produced.
Git diff/status reviewed,WSL git status output,PROVEN,WSL git status works but shows a very large pre-existing dirty worktree outside the A001-A004 scope.
