relative_path,artifact_class,size_bytes,sha256
artifact_manifest.csv,small_table,1162,e1a0ba3500a5c97464992d58712b1c84ee316f62017e6d807fad4c0b26d25a05
regime_intraday_continuation_grid_candidate_pool.csv,small_table,789,6cc5e96341763768f8d8fd1959b9e5d2e75d4c08ac44e86081eb6f1442d1ad06
selected_goal_portfolio_assignment_panel.csv,small_table,1336371,89ad6a5564bbc6f4c0ac734cb1658c6badc772c37aa571186c6b47f96899f8a3
selected_goal_portfolio_failure_decomposition.csv,small_table,872,356568b71ea68defd200631cbed25176bfe809a8914f43c8ebf51911dd62fce1
selected_goal_portfolio_holding_period_quality.csv,small_table,152,ea346ced58f2779f8fe751bc97923e8a80e41148ab11c8d91d97d22806ac82f0
selected_goal_portfolio_quality.csv,small_table,294,e3ffd1605b057dc257c9493300bf902c59b31d1303375ef3069298fab3761684
selected_goal_portfolio_quarterly_quality.csv,small_table,1412,7e2f155c51d4c5a7c4ee24787d164519602a49b205fd5d514ea26fd145b65387
selected_goal_portfolio_split_quality.csv,small_table,615,75787457bef1603070553f485eb66b623f18ad6e8dceeb0fa03dbbd3ff088f39
task_499_decision.csv,decision,427,7cbf320977de074d0bbfbb62cbfe06876d38158e2b206360fb96e872d3720f60
task_499_regime_intraday_continuation_grid.md,report,1256,8ceb81d85a8923cbd2633519b3a4522c1e7f0e678582295e612007c9cc021ffd
