path,action,result,target_path,size_bytes,note
.github/CODEOWNERS,KEEP_PROJECT_SOURCE,NO_PHYSICAL_CHANGE,.github/CODEOWNERS,1016,Decision recorded; no physical move/delete required.
.github/ISSUE_TEMPLATE/data_integrity_bug.yml,KEEP_PROJECT_SOURCE,NO_PHYSICAL_CHANGE,.github/ISSUE_TEMPLATE/data_integrity_bug.yml,815,Decision recorded; no physical move/delete required.
.github/ISSUE_TEMPLATE/data_source_task.yml,KEEP_PROJECT_SOURCE,NO_PHYSICAL_CHANGE,.github/ISSUE_TEMPLATE/data_source_task.yml,947,Decision recorded; no physical move/delete required.
.github/ISSUE_TEMPLATE/refactor_infra_task.yml,KEEP_PROJECT_SOURCE,NO_PHYSICAL_CHANGE,.github/ISSUE_TEMPLATE/refactor_infra_task.yml,686,Decision recorded; no physical move/delete required.
.github/ISSUE_TEMPLATE/research_task.yml,KEEP_PROJECT_SOURCE,NO_PHYSICAL_CHANGE,.github/ISSUE_TEMPLATE/research_task.yml,1177,Decision recorded; no physical move/delete required.
.github/pull_request_template.md,KEEP_PROJECT_SOURCE,NO_PHYSICAL_CHANGE,.github/pull_request_template.md,834,Decision recorded; no physical move/delete required.
.gitignore,KEEP_PROJECT_SOURCE,NO_PHYSICAL_CHANGE,.gitignore,432,Decision recorded; no physical move/delete required.
.graphifyignore,KEEP_PROJECT_SOURCE,NO_PHYSICAL_CHANGE,.graphifyignore,430,Decision recorded; no physical move/delete required.
.obsidian/app.json,KEEP,NO_PHYSICAL_CHANGE,.obsidian/app.json,149,Decision recorded; no physical move/delete required.
.obsidian/appearance.json,KEEP,NO_PHYSICAL_CHANGE,.obsidian/appearance.json,2,Decision recorded; no physical move/delete required.
.obsidian/core-plugins.json,KEEP,NO_PHYSICAL_CHANGE,.obsidian/core-plugins.json,704,Decision recorded; no physical move/delete required.
.obsidian/graph.json,KEEP,NO_PHYSICAL_CHANGE,.obsidian/graph.json,662,Decision recorded; no physical move/delete required.
.obsidian/templates.json,KEEP,NO_PHYSICAL_CHANGE,.obsidian/templates.json,42,Decision recorded; no physical move/delete required.
.obsidian/workspace.json,KEEP,NO_PHYSICAL_CHANGE,.obsidian/workspace.json,5752,Decision recorded; no physical move/delete required.
AGENTS.md,KEEP_PROJECT_SOURCE,NO_PHYSICAL_CHANGE,AGENTS.md,4400,Decision recorded; no physical move/delete required.
README.md,KEEP_PROJECT_SOURCE,NO_PHYSICAL_CHANGE,README.md,6247,Decision recorded; no physical move/delete required.
context/README.md,KEEP_PROJECT_SOURCE,NO_PHYSICAL_CHANGE,context/README.md,3927,Decision recorded; no physical move/delete required.
context/architecture/README.md,KEEP_PROJECT_SOURCE,NO_PHYSICAL_CHANGE,context/architecture/README.md,1080,Decision recorded; no physical move/delete required.
context/architecture/contracts.md,KEEP_PROJECT_SOURCE,NO_PHYSICAL_CHANGE,context/architecture/contracts.md,14914,Decision recorded; no physical move/delete required.
context/architecture/domain-model.md,KEEP_PROJECT_SOURCE,NO_PHYSICAL_CHANGE,context/architecture/domain-model.md,7743,Decision recorded; no physical move/delete required.
context/codebase/README.md,KEEP_PROJECT_SOURCE,NO_PHYSICAL_CHANGE,context/codebase/README.md,4840,Decision recorded; no physical move/delete required.
context/product/README.md,KEEP_PROJECT_SOURCE,NO_PHYSICAL_CHANGE,context/product/README.md,899,Decision recorded; no physical move/delete required.
context/workflow/README.md,KEEP_PROJECT_SOURCE,NO_PHYSICAL_CHANGE,context/workflow/README.md,1069,Decision recorded; no physical move/delete required.
context/workflow/execution-rules.md,KEEP_PROJECT_SOURCE,NO_PHYSICAL_CHANGE,context/workflow/execution-rules.md,3538,Decision recorded; no physical move/delete required.
context/workflow/state-management.md,KEEP_PROJECT_SOURCE,NO_PHYSICAL_CHANGE,context/workflow/state-management.md,2392,Decision recorded; no physical move/delete required.
data/README.md,KEEP_PROJECT_SOURCE,NO_PHYSICAL_CHANGE,data/README.md,1248,Data package source/documentation reclassified from derived/runtime.
data/artifacts/task_394_regime_aware_canonical_continuation_policy/policy_lifecycle_simulation_panel.csv,DVC_TRACK,NO_PHYSICAL_CHANGE,data/artifacts/task_394_regime_aware_canonical_continuation_policy/policy_lifecycle_simulation_panel.csv,38895358,Decision recorded; no physical move/delete required.
data/artifacts/task_395_forward_live_regime_detectability/forward_live_timestamp_regime_panel.csv,DVC_TRACK,NO_PHYSICAL_CHANGE,data/artifacts/task_395_forward_live_regime_detectability/forward_live_timestamp_regime_panel.csv,19558110,Decision recorded; no physical move/delete required.
data/artifacts/task_399_intraday_universe_history_expansion/canonical_rerun/intraday_canonical_event_log.csv,DVC_TRACK,NO_PHYSICAL_CHANGE,data/artifacts/task_399_intraday_universe_history_expansion/canonical_rerun/intraday_canonical_event_log.csv,25178744,Decision recorded; no physical move/delete required.
data/artifacts/task_399_intraday_universe_history_expansion/canonical_rerun/intraday_canonical_lifecycle_summary.csv,DVC_TRACK,NO_PHYSICAL_CHANGE,data/artifacts/task_399_intraday_universe_history_expansion/canonical_rerun/intraday_canonical_lifecycle_summary.csv,13505494,Decision recorded; no physical move/delete required.
data/artifacts/task_399_intraday_universe_history_expansion/task_391_expanded/split_lifecycle_panel.csv,DVC_TRACK,NO_PHYSICAL_CHANGE,data/artifacts/task_399_intraday_universe_history_expansion/task_391_expanded/split_lifecycle_panel.csv,23609717,Decision recorded; no physical move/delete required.
data/artifacts/task_399_intraday_universe_history_expansion/task_392_expanded/lifecycle_regime_panel.csv,DVC_TRACK,NO_PHYSICAL_CHANGE,data/artifacts/task_399_intraday_universe_history_expansion/task_392_expanded/lifecycle_regime_panel.csv,40740776,Decision recorded; no physical move/delete required.
data/artifacts/task_399_intraday_universe_history_expansion/task_395_expanded/forward_live_lifecycle_regime_panel.csv,DVC_TRACK,NO_PHYSICAL_CHANGE,data/artifacts/task_399_intraday_universe_history_expansion/task_395_expanded/forward_live_lifecycle_regime_panel.csv,59787886,Decision recorded; no physical move/delete required.
