artifact_path,artifact_type,authority,status,notes
data/artifacts/task_3845_source_authority_gate_10_loop/source_authority_gate_state.json,json,DIAGNOSTIC_ONLY_NOT_AUTHORITY,active,Generated by read-only audit.
data/artifacts/task_3845_source_authority_gate_10_loop/scope_phase_map.csv,csv,DIAGNOSTIC_ONLY_NOT_AUTHORITY,active,Generated by read-only audit.
data/artifacts/task_3845_source_authority_gate_10_loop/source_inventory.csv,csv,DIAGNOSTIC_ONLY_NOT_AUTHORITY,active,Generated by read-only audit.
data/artifacts/task_3845_source_authority_gate_10_loop/freshness_certification_matrix.csv,csv,DIAGNOSTIC_ONLY_NOT_AUTHORITY,active,Generated by read-only audit.
data/artifacts/task_3845_source_authority_gate_10_loop/sec_hybrid_provider_chain.csv,csv,DIAGNOSTIC_ONLY_NOT_AUTHORITY,active,Generated by read-only audit.
data/artifacts/task_3845_source_authority_gate_10_loop/authority_ledger_summary.csv,csv,DIAGNOSTIC_ONLY_NOT_AUTHORITY,active,Generated by read-only audit.
data/artifacts/task_3845_source_authority_gate_10_loop/broker_truth_gap_matrix.csv,csv,DIAGNOSTIC_ONLY_NOT_AUTHORITY,active,Generated by read-only audit.
data/artifacts/task_3845_source_authority_gate_10_loop/kill_switch_audit.csv,csv,DIAGNOSTIC_ONLY_NOT_AUTHORITY,active,Generated by read-only audit.
data/artifacts/task_3845_source_authority_gate_10_loop/paper_gate_blocker_matrix.csv,csv,DIAGNOSTIC_ONLY_NOT_AUTHORITY,active,Generated by read-only audit.
data/artifacts/task_3845_source_authority_gate_10_loop/native_ios_evidence_plan.csv,csv,DIAGNOSTIC_ONLY_NOT_AUTHORITY,active,Generated by read-only audit.
data/artifacts/task_3845_source_authority_gate_10_loop/native_ios_build_evidence_plan.csv,csv,DIAGNOSTIC_ONLY_NOT_AUTHORITY,active,Generated by read-only audit.
data/artifacts/task_3845_source_authority_gate_10_loop/native_ios_screenshot_evidence_plan.csv,csv,DIAGNOSTIC_ONLY_NOT_AUTHORITY,active,Generated by read-only audit.
data/artifacts/task_3845_source_authority_gate_10_loop/repo_census_summary.csv,csv,DIAGNOSTIC_ONLY_NOT_AUTHORITY,active,Generated by read-only audit.
docs/reports/task_3845_source_authority_gate_10_loop/gpt_loop_ledger.csv,csv,DIAGNOSTIC_ONLY_NOT_AUTHORITY,active,Generated by read-only audit.
docs/reports/task_3845_source_authority_gate_10_loop/source_authority_gate_10_loop_report.md,report,DIAGNOSTIC_ONLY_NOT_AUTHORITY,active,Generated by read-only audit.
docs/reports/task_3845_source_authority_gate_10_loop/task_3845_decision.csv,csv,DIAGNOSTIC_ONLY_NOT_AUTHORITY,active,Generated by read-only audit.
docs/reports/task_3845_source_authority_gate_10_loop/gpt_loop_01.md,report,DIAGNOSTIC_ONLY_NOT_AUTHORITY,active,Generated by read-only audit.
docs/reports/task_3845_source_authority_gate_10_loop/gpt_loop_02.md,report,DIAGNOSTIC_ONLY_NOT_AUTHORITY,active,Generated by read-only audit.
docs/reports/task_3845_source_authority_gate_10_loop/gpt_loop_03.md,report,DIAGNOSTIC_ONLY_NOT_AUTHORITY,active,Generated by read-only audit.
docs/reports/task_3845_source_authority_gate_10_loop/gpt_loop_04.md,report,DIAGNOSTIC_ONLY_NOT_AUTHORITY,active,Generated by read-only audit.
docs/reports/task_3845_source_authority_gate_10_loop/gpt_loop_05.md,report,DIAGNOSTIC_ONLY_NOT_AUTHORITY,active,Generated by read-only audit.
docs/reports/task_3845_source_authority_gate_10_loop/gpt_loop_06.md,report,DIAGNOSTIC_ONLY_NOT_AUTHORITY,active,Generated by read-only audit.
docs/reports/task_3845_source_authority_gate_10_loop/gpt_loop_07.md,report,DIAGNOSTIC_ONLY_NOT_AUTHORITY,active,Generated by read-only audit.
docs/reports/task_3845_source_authority_gate_10_loop/gpt_loop_08.md,report,DIAGNOSTIC_ONLY_NOT_AUTHORITY,active,Generated by read-only audit.
docs/reports/task_3845_source_authority_gate_10_loop/gpt_loop_09.md,report,DIAGNOSTIC_ONLY_NOT_AUTHORITY,active,Generated by read-only audit.
docs/reports/task_3845_source_authority_gate_10_loop/gpt_loop_10.md,report,DIAGNOSTIC_ONLY_NOT_AUTHORITY,active,Generated by read-only audit.
