group,file_count,size_bytes
data,886,5386834678
docs,2428,3470250993
frontend,8784,357946041
참고 Context,1204,187535294
frontend_data,5,121163150
downloads,1,36501504
trading-DESKTOP-2R00TB4-2.db,1,24633344
trading.db,1,24608768
trading-DESKTOP-2R00TB4.db,1,24293376
trading-DESKTOP-TFM86SG-2.db,1,23314432
src,978,12870912
trading-DESKTOP-TFM86SG.db,1,11382784
graphify-out,4,8479843
tests,492,2721995
logs,20,973431
scripts,48,381563
tasks,59,157782
context,9,40402
trading_continuation_capture.jsonl,1,36784
skills,3,12724
phases,3,11212
.obsidian,6,7311
__pycache__,1,6885
prompts,3,6374
README.md,1,6247
.github,6,5475
validate_readiness_registry.py,1,4909
AGENTS.md,1,4400
configs,1,1886
config,2,1448
templates,2,1418
.kis_token_cache.json,1,489
.gitignore,1,432
.graphifyignore,1,430
.env,1,101
