journal_id,run_id,decision_timestamp,policy_id,decision_id,symbol,side,order_intent_id,source_ids,thesis_id,risk_state,source_time_status,decision_state,journal_action,no_trade_reason,paper_fill_status,reduce_exit_reason,outcome_used_for_assignment,assignment_uses_future_outcome,real_capital
SHADOWJOURNAL-00001,SHADOW-2026-06-26T15:04:46.550840+00:00,2026-06-26T15:04:20.037885Z,runtime_strategy_decision_gate_v1,decision-74378c8e5d9f454d,AMD,NONE,,2026-06-26T15:03:30.588430Z:AMD|Task567:AMD:2026-05-06 04:00:00+00:00,STRATEGY_FILTER_NOT_MET,constructive_risk_on|persistent_theme_leader,CAPTURED,NO_TRADE,OBSERVE_OR_BLOCK,STRATEGY_FILTER_NOT_MET,SKIPPED,,0,0,FORBIDDEN
SHADOWJOURNAL-00002,SHADOW-2026-06-26T15:04:46.550840+00:00,2026-06-26T15:04:46.550840+00:00,runtime_no_trade_decomposition_v1,,AMD,NONE,,2026-06-26T15:03:30.588430Z:AMD,,,UNKNOWN_SOURCE_FRESHNESS,NO_TRADE,NO_TRADE,,NOT_SENT,,0,0,FORBIDDEN
SHADOWJOURNAL-00003,SHADOW-2026-06-26T15:04:46.550840+00:00,2026-06-26T15:04:46.550840+00:00,runtime_no_trade_decomposition_v1,,AMZN,NONE,,2026-06-26T15:03:30.588430Z:AMZN,,,UNKNOWN_SOURCE_FRESHNESS,NO_TRADE,NO_TRADE,,NOT_SENT,,0,0,FORBIDDEN
SHADOWJOURNAL-00004,SHADOW-2026-06-26T15:04:46.550840+00:00,2026-06-26T15:04:46.550840+00:00,runtime_no_trade_decomposition_v1,,MSFT,NONE,,2026-06-26T15:03:30.588430Z:MSFT,,,UNKNOWN_SOURCE_FRESHNESS,NO_TRADE,NO_TRADE,,NOT_SENT,,0,0,FORBIDDEN
SHADOWJOURNAL-00005,SHADOW-2026-06-26T15:04:46.550840+00:00,2026-06-26T15:04:46.550840+00:00,runtime_no_trade_decomposition_v1,,NVDA,NONE,,2026-06-26T15:03:30.588430Z:NVDA,,,UNKNOWN_SOURCE_FRESHNESS,NO_TRADE,NO_TRADE,,NOT_SENT,,0,0,FORBIDDEN
SHADOWJOURNAL-00006,SHADOW-2026-06-26T15:04:46.550840+00:00,2026-06-26T15:04:46.550840+00:00,runtime_no_trade_decomposition_v1,,AVGO,NONE,,2026-06-26T15:03:30.588430Z:AVGO,,,UNKNOWN_SOURCE_FRESHNESS,NO_TRADE,NO_TRADE,,NOT_SENT,,0,0,FORBIDDEN
SHADOWJOURNAL-00007,SHADOW-2026-06-26T15:04:46.550840+00:00,2026-06-26T15:04:46.550840+00:00,runtime_no_trade_decomposition_v1,,GOOGL,NONE,,2026-06-26T15:03:30.588430Z:GOOGL,,,UNKNOWN_SOURCE_FRESHNESS,NO_TRADE,NO_TRADE,,NOT_SENT,,0,0,FORBIDDEN
SHADOWJOURNAL-00008,SHADOW-2026-06-26T15:04:46.550840+00:00,2026-06-26T15:04:46.550840+00:00,runtime_no_trade_decomposition_v1,,META,NONE,,2026-06-26T15:03:30.588430Z:META,,,UNKNOWN_SOURCE_FRESHNESS,NO_TRADE,NO_TRADE,,NOT_SENT,,0,0,FORBIDDEN
SHADOWJOURNAL-00009,SHADOW-2026-06-26T15:04:46.550840+00:00,2026-06-26T15:04:46.550840+00:00,runtime_no_trade_decomposition_v1,,TSLA,NONE,,2026-06-26T15:03:30.588430Z:TSLA,,,UNKNOWN_SOURCE_FRESHNESS,NO_TRADE,NO_TRADE,,NOT_SENT,,0,0,FORBIDDEN
SHADOWJOURNAL-00010,SHADOW-2026-06-26T15:04:46.550840+00:00,2026-06-26T15:04:46.550840+00:00,runtime_no_trade_decomposition_v1,,AFRM,NONE,,2026-06-26T15:03:30.588430Z:AFRM,,,UNKNOWN_SOURCE_FRESHNESS,NO_TRADE,NO_TRADE,,NOT_SENT,,0,0,FORBIDDEN
SHADOWJOURNAL-00011,SHADOW-2026-06-26T15:04:46.550840+00:00,2026-06-26T15:04:46.550840+00:00,runtime_no_trade_decomposition_v1,,AMGN,NONE,,2026-06-26T15:03:30.588430Z:AMGN,,,UNKNOWN_SOURCE_FRESHNESS,NO_TRADE,NO_TRADE,,NOT_SENT,,0,0,FORBIDDEN
SHADOWJOURNAL-00012,SHADOW-2026-06-26T15:04:46.550840+00:00,2026-06-26T15:04:46.550840+00:00,runtime_no_trade_decomposition_v1,,ARM,NONE,,2026-06-26T15:03:30.588430Z:ARM,,,UNKNOWN_SOURCE_FRESHNESS,NO_TRADE,NO_TRADE,,NOT_SENT,,0,0,FORBIDDEN
SHADOWJOURNAL-00013,SHADOW-2026-06-26T15:04:46.550840+00:00,2026-06-26T15:04:46.550840+00:00,runtime_no_trade_decomposition_v1,,ASML,NONE,,2026-06-26T15:03:30.588430Z:ASML,,,UNKNOWN_SOURCE_FRESHNESS,NO_TRADE,NO_TRADE,,NOT_SENT,,0,0,FORBIDDEN
SHADOWJOURNAL-00014,SHADOW-2026-06-26T15:04:46.550840+00:00,2026-06-26T15:04:46.550840+00:00,runtime_no_trade_decomposition_v1,,ASTS,NONE,,2026-06-26T15:03:30.588430Z:ASTS,,,UNKNOWN_SOURCE_FRESHNESS,NO_TRADE,NO_TRADE,,NOT_SENT,,0,0,FORBIDDEN
SHADOWJOURNAL-00015,SHADOW-2026-06-26T15:04:46.550840+00:00,2026-06-26T15:04:46.550840+00:00,runtime_no_trade_decomposition_v1,,BA,NONE,,2026-06-26T15:03:30.588430Z:BA,,,UNKNOWN_SOURCE_FRESHNESS,NO_TRADE,NO_TRADE,,NOT_SENT,,0,0,FORBIDDEN
SHADOWJOURNAL-00016,SHADOW-2026-06-26T15:04:46.550840+00:00,2026-06-26T15:04:46.550840+00:00,runtime_no_trade_decomposition_v1,,CEG,NONE,,2026-06-26T15:03:30.588430Z:CEG,,,UNKNOWN_SOURCE_FRESHNESS,NO_TRADE,NO_TRADE,,NOT_SENT,,0,0,FORBIDDEN
SHADOWJOURNAL-00017,SHADOW-2026-06-26T15:04:46.550840+00:00,2026-06-26T15:04:46.550840+00:00,runtime_no_trade_decomposition_v1,,COIN,NONE,,2026-06-26T15:03:30.588430Z:COIN,,,UNKNOWN_SOURCE_FRESHNESS,NO_TRADE,NO_TRADE,,NOT_SENT,,0,0,FORBIDDEN
SHADOWJOURNAL-00018,SHADOW-2026-06-26T15:04:46.550840+00:00,2026-06-26T15:04:46.550840+00:00,runtime_no_trade_decomposition_v1,,CRM,NONE,,2026-06-26T15:03:30.588430Z:CRM,,,UNKNOWN_SOURCE_FRESHNESS,NO_TRADE,NO_TRADE,,NOT_SENT,,0,0,FORBIDDEN
SHADOWJOURNAL-00019,SHADOW-2026-06-26T15:04:46.550840+00:00,2026-06-26T15:04:46.550840+00:00,runtime_no_trade_decomposition_v1,,CRWD,NONE,,2026-06-26T15:03:30.588430Z:CRWD,,,UNKNOWN_SOURCE_FRESHNESS,NO_TRADE,NO_TRADE,,NOT_SENT,,0,0,FORBIDDEN
SHADOWJOURNAL-00020,SHADOW-2026-06-26T15:04:46.550840+00:00,2026-06-26T15:04:46.550840+00:00,runtime_no_trade_decomposition_v1,,DDOG,NONE,,2026-06-26T15:03:30.588430Z:DDOG,,,UNKNOWN_SOURCE_FRESHNESS,NO_TRADE,NO_TRADE,,NOT_SENT,,0,0,FORBIDDEN
SHADOWJOURNAL-00021,SHADOW-2026-06-26T15:04:46.550840+00:00,2026-06-26T15:04:46.550840+00:00,runtime_no_trade_decomposition_v1,,EMR,NONE,,2026-06-26T15:03:30.588430Z:EMR,,,UNKNOWN_SOURCE_FRESHNESS,NO_TRADE,NO_TRADE,,NOT_SENT,,0,0,FORBIDDEN
SHADOWJOURNAL-00022,SHADOW-2026-06-26T15:04:46.550840+00:00,2026-06-26T15:04:46.550840+00:00,runtime_no_trade_decomposition_v1,,ESTC,NONE,,2026-06-26T15:03:30.588430Z:ESTC,,,UNKNOWN_SOURCE_FRESHNESS,NO_TRADE,NO_TRADE,,NOT_SENT,,0,0,FORBIDDEN
SHADOWJOURNAL-00023,SHADOW-2026-06-26T15:04:46.550840+00:00,2026-06-26T15:04:46.550840+00:00,runtime_no_trade_decomposition_v1,,ETN,NONE,,2026-06-26T15:03:30.588430Z:ETN,,,UNKNOWN_SOURCE_FRESHNESS,NO_TRADE,NO_TRADE,,NOT_SENT,,0,0,FORBIDDEN
SHADOWJOURNAL-00024,SHADOW-2026-06-26T15:04:46.550840+00:00,2026-06-26T15:04:46.550840+00:00,runtime_no_trade_decomposition_v1,,F,NONE,,2026-06-26T15:03:30.588430Z:F,,,UNKNOWN_SOURCE_FRESHNESS,NO_TRADE,NO_TRADE,,NOT_SENT,,0,0,FORBIDDEN
SHADOWJOURNAL-00025,SHADOW-2026-06-26T15:04:46.550840+00:00,2026-06-26T15:04:46.550840+00:00,runtime_no_trade_decomposition_v1,,FTNT,NONE,,2026-06-26T15:03:30.588430Z:FTNT,,,UNKNOWN_SOURCE_FRESHNESS,NO_TRADE,NO_TRADE,,NOT_SENT,,0,0,FORBIDDEN
SHADOWJOURNAL-00026,SHADOW-2026-06-26T15:04:46.550840+00:00,2026-06-26T15:04:46.550840+00:00,runtime_no_trade_decomposition_v1,,GD,NONE,,2026-06-26T15:03:30.588430Z:GD,,,UNKNOWN_SOURCE_FRESHNESS,NO_TRADE,NO_TRADE,,NOT_SENT,,0,0,FORBIDDEN
SHADOWJOURNAL-00027,SHADOW-2026-06-26T15:04:46.550840+00:00,2026-06-26T15:04:46.550840+00:00,runtime_no_trade_decomposition_v1,,GE,NONE,,2026-06-26T15:03:30.588430Z:GE,,,UNKNOWN_SOURCE_FRESHNESS,NO_TRADE,NO_TRADE,,NOT_SENT,,0,0,FORBIDDEN
