relative_path,artifact_class,size_bytes,sha256,notes
docs/contracts/l3_calibration_outcome_contract.md,contract_doc,not_computed,not_computed,L3 calibration row contract
docs/architecture/l3_task742_rule_migration_policy.md,architecture_doc,not_computed,not_computed,Task742 migration policy
docs/reports/task_l3_calibration_rule_migration/l3_calibration_rule_migration_report.md,report,not_computed,not_computed,Task report
docs/reports/task_l3_calibration_rule_migration/task_l3_calibration_rule_migration_decision.csv,decision_csv,not_computed,not_computed,Diagnostic decision
docs/reports/task_l3_calibration_rule_migration/source_provenance.csv,provenance_csv,not_computed,not_computed,Recovered source hashes
docs/reports/task_l3_calibration_rule_migration/l3_calibration_bridge_gap_audit.csv,audit_csv,not_computed,not_computed,Outcome panel bridge-key gap audit
docs/reports/task_l3_calibration_rule_migration/l3_explicit_bridge_search_audit.csv,audit_csv,not_computed,not_computed,Exact source-event lifecycle bridge search audit
docs/reports/task_l3_calibration_rule_migration/l3_explicit_source_event_outcome_bridge.csv,bridge_csv,not_computed,not_computed,Exact source-event to lifecycle outcome bridge rows
docs/reports/task_l3_calibration_rule_migration/l3_calibration_outcomes.csv,calibration_csv,not_computed,not_computed,L3 diagnostic calibration outcome rows from exact bridge
docs/reports/task_l3_calibration_rule_migration/l3_calibration_audit_buckets.csv,calibration_audit_csv,not_computed,not_computed,L3 diagnostic calibration audit buckets
docs/reports/task_l3_calibration_rule_migration/l3_task742_packet_bridge_gap_audit.csv,audit_csv,not_computed,not_computed,Task742 packet-to-outcome bridge gap audit
docs/reports/task_l3_calibration_rule_migration/l3_task742_remote_artifact_availability_audit.csv,audit_csv,not_computed,not_computed,Remote Task740/741/742 packet artifact availability audit
docs/reports/task_l3_calibration_rule_migration/l3_task742_schema_search_audit.csv,audit_csv,not_computed,not_computed,Renamed Task742 packet schema search audit
src/brain/l3/calibration_bridge.py,code,not_computed,not_computed,Explicit L3 to outcome bridge contract
src/brain/l3/calibration_bridge_builder.py,code,not_computed,not_computed,Bridge row builder and CSV eligibility scanner
src/brain/l3/calibration_bridge_search.py,code,not_computed,not_computed,Exact source-event outcome bridge search
src/brain/l3/calibration_contracts.py,code,not_computed,not_computed,Calibration row contracts
src/brain/l3/calibration_builder.py,code,not_computed,not_computed,Calibration guarded builder and audit buckets
src/brain/l3/calibration_store.py,code,not_computed,not_computed,SQLite schema and writers
src/brain/l3/calibration_apply.py,code,not_computed,not_computed,Calibrated confidence application helper
src/brain/l3/task742_rules.py,code,not_computed,not_computed,Recovered Task742 rules
src/brain/l3/adapters/task742_rule_adapter.py,code,not_computed,not_computed,Task742 rules to L3 diagnostic adapter
scripts/validate_l3_calibration_contract.py,validator_script,not_computed,not_computed,Validates calibration contract and explicit bridge enforcement
scripts/validate_l3_calibration_bridge_contract.py,validator_script,not_computed,not_computed,Validates explicit bridge safety contract
scripts/validate_l3_task742_rule_migration.py,validator_script,not_computed,not_computed,Validates Task742 migration safety
scripts/build_l3_calibration_bridge_eligibility_audit.py,validator_script,not_computed,not_computed,Builds current bridge eligibility audit
scripts/validate_l3_bridge_eligibility_audit.py,validator_script,not_computed,not_computed,Validates bridge audit safety
scripts/build_l3_explicit_bridge_search_audit.py,validator_script,not_computed,not_computed,Builds exact source-event bridge audit and bridge rows
scripts/validate_l3_explicit_bridge_search_audit.py,validator_script,not_computed,not_computed,Validates exact source-event bridge safety
scripts/build_l3_calibration_outcome_table.py,validator_script,not_computed,not_computed,Builds diagnostic calibration outcome and bucket tables
scripts/validate_l3_calibration_outcome_table.py,validator_script,not_computed,not_computed,Validates diagnostic calibration outcome and bucket tables
scripts/build_l3_task742_packet_bridge_gap_audit.py,validator_script,not_computed,not_computed,Builds Task742 packet bridge gap audit
scripts/validate_l3_task742_packet_bridge_gap_audit.py,validator_script,not_computed,not_computed,Validates Task742 packet bridge gap audit
scripts/build_l3_task742_remote_artifact_availability_audit.py,audit_script,not_computed,not_computed,Checks remote Task740/741/742 packet artifact raw availability
scripts/build_l3_task742_schema_search_audit.py,audit_script,not_computed,not_computed,Searches renamed local CSV JSON and DB schemas for Task742 packet artifacts
scripts/validate_l3_task742_schema_search_audit.py,validator_script,not_computed,not_computed,Validates renamed Task742 schema search safety
tests/test_l3_calibration_contracts.py,test,not_computed,not_computed,Calibration contract and explicit bridge tests
tests/test_l3_calibration_bridge.py,test,not_computed,not_computed,Explicit bridge contract tests
tests/test_l3_calibration_bridge_builder.py,test,not_computed,not_computed,Bridge builder tests
tests/test_l3_calibration_bridge_search.py,test,not_computed,not_computed,Exact source-event bridge search tests
tests/test_l3_task742_rule_migration.py,test,not_computed,not_computed,Task742 rule migration tests
