artifact_type,path,row_count_or_count,file_size_bytes,validation_command,notes
input,data/raw/alpaca_active_us_equity_universe.csv,12040,,python scripts/task_registry_validate.py,Active/tradable Alpaca universe used by the bar collector.
output,data/raw/us_daily_alpaca_full_universe,358 files at 2026-06-28T02:51Z,,python -m unittest tests.test_l0_bar_full_backfill,Full-run daily L1-compatible CSV output directory; count increases while four daily shard workers run.
output,trading.db::market_bars_5m,417903 rows at 2026-06-28T02:51Z,,python -m unittest tests.test_task_337_historical_intraday_backfill,Existing L2 market bar table; row count includes pre-existing rows plus new full-run writes.
progress,data/artifacts/l0_bar_full_backfill/collector_progress.json,5m-only progress; 773 processed request units at 2026-06-28T02:51Z,,python scripts/run_l0_bar_full_backfill.py --mode smoke --universe-limit 1 --max-requests 2,5m collector progress and ETA surface.
progress,data/artifacts/l0_bar_daily_full_backfill_shard_0/collector_progress.json,daily shard 0 progress,,python -m unittest tests.test_l0_bar_full_backfill,Daily shard 0 source event progress.
progress,data/artifacts/l0_bar_daily_full_backfill_shard_1/collector_progress.json,daily shard 1 progress,,python -m unittest tests.test_l0_bar_full_backfill,Daily shard 1 source event progress.
progress,data/artifacts/l0_bar_daily_full_backfill_shard_2/collector_progress.json,daily shard 2 progress,,python -m unittest tests.test_l0_bar_full_backfill,Daily shard 2 source event progress.
progress,data/artifacts/l0_bar_daily_full_backfill_shard_3/collector_progress.json,daily shard 3 progress,,python -m unittest tests.test_l0_bar_full_backfill,Daily shard 3 source event progress.
events,data/artifacts/l0_bar_full_backfill/collector_events.jsonl,5m append-only event ledger,,python -m unittest tests.test_l0_bar_full_backfill,Append-only source event ledger for 5m lane.
events,data/artifacts/l0_bar_daily_full_backfill/collector_events.jsonl,daily append-only event ledger,,python -m unittest tests.test_l0_bar_full_backfill,Append-only source event ledger for daily lane.
plan,data/artifacts/l0_bar_full_backfill/full_backfill_plan.json,397320 request units,,python -m py_compile tools/db/source_acquisition/bar_full_backfill.py,Full-universe request and row estimate plan.
contract,data/artifacts/l0_bar_full_backfill/l1_l2_bar_contract.json,2 lane contracts,,python -m py_compile tools/db/source_acquisition/bar_full_backfill.py,L1/L2 consumption contract.
smoke,data/artifacts/l0_bar_full_backfill_smoke/collector_progress.json,2 processed events,,python scripts/run_l0_bar_full_backfill.py --mode historical_backfill --universe-limit 1 --max-requests 2,Real Alpaca daily/5m smoke checkpoint.
news_progress,data/artifacts/l0_news_full_backfill/collector_progress.json,2161 processed events at prior snapshot,,python -m unittest tests.test_l0_news_full_backfill,Official/GDELT/Marketaux collector remains active.
postponed_tick_progress,data/artifacts/microstructure_backfill_queue_15m/collector_progress.json,1727 processed chunks,,"STOP file: data/artifacts/microstructure_backfill_queue_15m/STOP",Quote/trade tick full collection is stopped/postponed, not deleted.
reference_raw,data/raw/l0_reference,33163 assets and 2635 calendar sessions at 2026-06-28T02:26Z,,python -m unittest tests.test_l0_reference_snapshot,Read-only Alpaca assets calendar and clock/status snapshot.
reference_progress,data/artifacts/l0_reference_snapshot/collector_progress.json,5 exported events,,python scripts/run_l0_reference_snapshot.py --start-date 2016-01-01 --end-date 2026-06-26,L0 universe/status/calendar progress and contract.
status,data/artifacts/l0_collection_status/current_status.json,daily 7.5166 pct 5m 0.244 pct and source-level news status at 2026-06-28T03:09Z,,python scripts/report_l0_collection_status.py,Consolidated L0 collection status JSON for bars 1m scope news source breakdown reference and tick postponement.
status,data/artifacts/l0_collection_status/current_status.md,daily 905 files 5m 680032 rows and news by source at 2026-06-28T03:09Z,,python scripts/report_l0_collection_status.py,Human-readable consolidated L0 collection status including Official GDELT Marketaux and 1m rationale.
