artifact_path,artifact_type,role,status,row_count,validation,notes
docs/reports/A007_dvc_lfs_artifact_management/dvc_lfs_artifact_management_report.md,output,task_report,created,not_applicable,validation_passed,A007 DVC/LFS artifact management report.
docs/reports/A007_dvc_lfs_artifact_management/large_payload_tracking_plan.csv,output,tracking_plan,created,33,validation_passed,Large payload policy and action plan.
docs/reports/A007_dvc_lfs_artifact_management/large_payload_move_log.csv,output,move_log,created,9,validation_passed,Large report payload move log.
docs/reports/A007_dvc_lfs_artifact_management/dvc_targets.csv,output,dvc_target_manifest,created,67,validation_passed,DVC target list after filtering tracked/source files.
docs/reports/A007_dvc_lfs_artifact_management/dvc_tracking_status.csv,output,dvc_status_manifest,created,67,validation_passed,All DVC targets are tracked.
docs/reports/A007_dvc_lfs_artifact_management/dvc_excluded_git_tracked.csv,output,exclusion_log,created,1,validation_passed,Existing Git-tracked data file excluded from DVC conversion.
docs/reports/A007_dvc_lfs_artifact_management/dvc_add_retry_log.csv,output,dvc_retry_log,created,16,validation_passed,Retry log after initial DVC add file lock.
docs/reports/A007_dvc_lfs_artifact_management/reference_update_log.csv,output,reference_update_log,created,30,validation_passed,Text reference replacement log.
docs/reports/A007_dvc_lfs_artifact_management/execution_summary.csv,output,summary,created,9,validation_passed,A007 execution metrics.
docs/reports/A007_dvc_lfs_artifact_management/post_cleanup_inventory/file_inventory.csv,output,post_cleanup_inventory,created,13048,validation_passed,Post-cleanup file inventory excluding .git and DVC cache/tmp.
.dvc/config,output,dvc_config,created,not_applicable,validation_passed,DVC repository initialized with no remote.
