path,size_bytes,class,owner,storage_backend,target_path,action,reason
data/artifacts/task_406_raw_factor_source_audit/raw_bar_provenance_panel.csv,681195740,DERIVED_OR_RUNTIME_DATA,Data and Market Microstructure,DVC,data/artifacts/task_406_raw_factor_source_audit/raw_bar_provenance_panel.csv,DVC_TRACK,Large project payload retained as DVC-managed artifact.
docs/reports/task_406_deterministic_decision_rebuild/enriched_decision_snapshot_log.csv,593424967,LARGE_REPORT_ARTIFACT,Data and Market Microstructure,DVC,data/artifacts/task_406_deterministic_decision_rebuild/enriched_decision_snapshot_log.csv,MOVE_WITH_POINTER,Large report payload moved to data/artifacts with pointer.
docs/reports/task_401_forward_live_canonical_multifactor_decision_layer/multifactor_decision_snapshot_log.csv,592378205,LARGE_REPORT_ARTIFACT,Data and Market Microstructure,DVC,data/artifacts/task_401_forward_live_canonical_multifactor_decision_layer/multifactor_decision_snapshot_log.csv,MOVE_WITH_POINTER,Large report payload moved to data/artifacts with pointer.
docs/reports/task_401_forward_live_canonical_multifactor_decision_layer/multifactor_entry_candidate_log.csv,465947726,LARGE_REPORT_ARTIFACT,Data and Market Microstructure,DVC,data/artifacts/task_401_forward_live_canonical_multifactor_decision_layer/multifactor_entry_candidate_log.csv,MOVE_WITH_POINTER,Large report payload moved to data/artifacts with pointer.
docs/reports/task_406_deterministic_decision_rebuild/enriched_entry_candidate_log.csv,465947726,LARGE_REPORT_ARTIFACT,Data and Market Microstructure,DVC,data/artifacts/task_406_deterministic_decision_rebuild/enriched_entry_candidate_log.csv,MOVE_WITH_POINTER,Large report payload moved to data/artifacts with pointer.
data/raw/alpaca_historical_microstructure/feed=sip/quotes/NVDA.csv,439010599,PROTECTED_RAW_SOURCE,Data and Market Microstructure,DVC,data/raw/alpaca_historical_microstructure/feed=sip/quotes/NVDA.csv,DVC_TRACK,Large project payload retained as DVC-managed artifact.
data/artifacts/task_407_raw_native_vectorized_rebuild/raw_native_entry_candidate_log.csv,354964924,DERIVED_OR_RUNTIME_DATA,Data and Market Microstructure,DVC,data/artifacts/task_407_raw_native_vectorized_rebuild/raw_native_entry_candidate_log.csv,DVC_TRACK,Large project payload retained as DVC-managed artifact.
docs/reports/task_407_raw_native_vectorized_rebuild/raw_native_decision_snapshot_log.csv,354964924,LARGE_REPORT_ARTIFACT,Data and Market Microstructure,DVC,data/artifacts/task_407_raw_native_vectorized_rebuild/raw_native_decision_snapshot_log.csv,MOVE_WITH_POINTER,Large report payload moved to data/artifacts with pointer.
data/artifacts/task_399_intraday_universe_history_expansion/task_396_expanded/cost_constrained_lifecycle_panel.csv,289886362,DERIVED_OR_RUNTIME_DATA,Data and Market Microstructure,DVC,data/artifacts/task_399_intraday_universe_history_expansion/task_396_expanded/cost_constrained_lifecycle_panel.csv,DVC_TRACK,Large project payload retained as DVC-managed artifact.
docs/reports/task_406_deterministic_decision_rebuild/decision_factor_lineage_audit.csv,244167078,LARGE_REPORT_ARTIFACT,Data and Market Microstructure,DVC,data/artifacts/task_406_deterministic_decision_rebuild/decision_factor_lineage_audit.csv,MOVE_WITH_POINTER,Large report payload moved to data/artifacts with pointer.
data/raw/alpaca_historical_microstructure/feed=sip/quotes/IBIT.csv,203741843,PROTECTED_RAW_SOURCE,Data and Market Microstructure,DVC,data/raw/alpaca_historical_microstructure/feed=sip/quotes/IBIT.csv,DVC_TRACK,Large project payload retained as DVC-managed artifact.
data/artifacts/task_405_refined_archetype_portfolio_rebuild/refined_archetype_assignment_panel.csv,187794560,DERIVED_OR_RUNTIME_DATA,Data and Market Microstructure,DVC,data/artifacts/task_405_refined_archetype_portfolio_rebuild/refined_archetype_assignment_panel.csv,DVC_TRACK,Large project payload retained as DVC-managed artifact.
data/artifacts/task_556_vwap_bandwalk_portfolio_revalidation/vwap_bandwalk_assignment_panel.csv,159012197,DERIVED_OR_RUNTIME_DATA,Data and Market Microstructure,DVC,data/artifacts/task_556_vwap_bandwalk_portfolio_revalidation/vwap_bandwalk_assignment_panel.csv,DVC_TRACK,Large project payload retained as DVC-managed artifact.
data/raw/alpaca_historical_microstructure/feed=sip/quotes/GOOGL.csv,158482954,PROTECTED_RAW_SOURCE,Data and Market Microstructure,DVC,data/raw/alpaca_historical_microstructure/feed=sip/quotes/GOOGL.csv,DVC_TRACK,Large project payload retained as DVC-managed artifact.
data/raw/alpaca_historical_microstructure/feed=sip/quotes/PLTR.csv,156255105,PROTECTED_RAW_SOURCE,Data and Market Microstructure,DVC,data/raw/alpaca_historical_microstructure/feed=sip/quotes/PLTR.csv,DVC_TRACK,Large project payload retained as DVC-managed artifact.
data/raw/alpaca_historical_microstructure/feed=sip/quotes/AMZN.csv,142521597,PROTECTED_RAW_SOURCE,Data and Market Microstructure,DVC,data/raw/alpaca_historical_microstructure/feed=sip/quotes/AMZN.csv,DVC_TRACK,Large project payload retained as DVC-managed artifact.
data/raw/alpaca_historical_microstructure/feed=sip/quotes/AMD.csv,135153224,PROTECTED_RAW_SOURCE,Data and Market Microstructure,DVC,data/raw/alpaca_historical_microstructure/feed=sip/quotes/AMD.csv,DVC_TRACK,Large project payload retained as DVC-managed artifact.
docs/reports/task_401_forward_live_canonical_multifactor_decision_layer/multifactor_continuation_decision_log.csv,126431119,LARGE_REPORT_ARTIFACT,Data and Market Microstructure,DVC,data/artifacts/task_401_forward_live_canonical_multifactor_decision_layer/multifactor_continuation_decision_log.csv,MOVE_WITH_POINTER,Large report payload moved to data/artifacts with pointer.
frontend/trader-terminal/dist/catalog/trader_terminal_catalog.json,116939669,PROJECT_SOURCE_OR_CONFIG,Data and Market Microstructure,IGNORED_BUILD_OUTPUT,frontend/trader-terminal/dist/catalog/trader_terminal_catalog.json,KEEP_IGNORED_BUILD_OUTPUT,Generated build output remains ignored; public catalog is the source for app runtime.
frontend/trader-terminal/public/catalog/trader_terminal_catalog.json,116939669,FRONTEND_PUBLIC_CATALOG,Data and Market Microstructure,DVC,frontend/trader-terminal/public/catalog/trader_terminal_catalog.json,DVC_TRACK,Large project payload retained as DVC-managed artifact.
frontend_data/catalog/trader_terminal_catalog.json,116939669,POSSIBLE_DUPLICATE_GENERATED_CATALOG,Data and Market Microstructure,REGENERABLE_STAGING,frontend_data/catalog/trader_terminal_catalog.json,DELETE_LOGGED,Duplicate generated staging catalog; public catalog is retained and DVC-managed: C:/Users/minjo/OneDrive/바탕 화면/외국주식 퀀트트레이딩/frontend/trader-terminal/public/catalog/trader_terminal_catalog.json
docs/reports/task_487_regime_phase_target_validation/regime_phase_lifecycle_panel.csv,102928266,LARGE_REPORT_ARTIFACT,Data and Market Microstructure,DVC,data/artifacts/task_487_regime_phase_target_validation/regime_phase_lifecycle_panel.csv,MOVE_WITH_POINTER,Large report payload moved to data/artifacts with pointer.
data/artifacts/task_399_intraday_universe_history_expansion/task_395_expanded/forward_live_timestamp_regime_panel.csv,102793066,DERIVED_OR_RUNTIME_DATA,Data and Market Microstructure,DVC,data/artifacts/task_399_intraday_universe_history_expansion/task_395_expanded/forward_live_timestamp_regime_panel.csv,DVC_TRACK,Large project payload retained as DVC-managed artifact.
data/artifacts/task_484_continuation_payoff_regime_engine/payoff_regime_lifecycle_panel.csv,101344232,DERIVED_OR_RUNTIME_DATA,Data and Market Microstructure,DVC,data/artifacts/task_484_continuation_payoff_regime_engine/payoff_regime_lifecycle_panel.csv,DVC_TRACK,Large project payload retained as DVC-managed artifact.
docs/reports/task_480_symbol_structure_continuation_diagnostics/symbol_structure_snapshot_log.csv,96359035,LARGE_REPORT_ARTIFACT,Data and Market Microstructure,DVC,data/artifacts/task_480_symbol_structure_continuation_diagnostics/symbol_structure_snapshot_log.csv,MOVE_WITH_POINTER,Large report payload moved to data/artifacts with pointer.
data/raw/alpaca_historical_microstructure/feed=sip/trades/AMD.csv,94040761,PROTECTED_RAW_SOURCE,Data and Market Microstructure,DVC,data/raw/alpaca_historical_microstructure/feed=sip/trades/AMD.csv,DVC_TRACK,Large project payload retained as DVC-managed artifact.
