path,returncode,result,message
data/raw/alpaca_historical_microstructure/feed=sip/quotes/AMD.csv,0,ADDED,"To track the changes with git, run: |  | 	git add 'data\raw\alpaca_historical_microstructure\feed=sip\quotes\.gitignore' 'data\raw\alpaca_historical_microstructure\feed=sip\quotes\AMD.csv.dvc' |  | To enable auto staging, run: |  | 	dvc config core.autostage true"
data/raw/alpaca_historical_microstructure/feed=sip/quotes/AMZN.csv,0,ADDED,"To track the changes with git, run: |  | 	git add 'data\raw\alpaca_historical_microstructure\feed=sip\quotes\AMZN.csv.dvc' 'data\raw\alpaca_historical_microstructure\feed=sip\quotes\.gitignore' |  | To enable auto staging, run: |  | 	dvc config core.autostage true"
data/raw/alpaca_historical_microstructure/feed=sip/quotes/ASML.csv,0,ADDED,"To track the changes with git, run: |  | 	git add 'data\raw\alpaca_historical_microstructure\feed=sip\quotes\.gitignore' 'data\raw\alpaca_historical_microstructure\feed=sip\quotes\ASML.csv.dvc' |  | To enable auto staging, run: |  | 	dvc config core.autostage true"
data/raw/alpaca_historical_microstructure/feed=sip/quotes/GOOGL.csv,0,ADDED,"To track the changes with git, run: |  | 	git add 'data\raw\alpaca_historical_microstructure\feed=sip\quotes\.gitignore' 'data\raw\alpaca_historical_microstructure\feed=sip\quotes\GOOGL.csv.dvc' |  | To enable auto staging, run: |  | 	dvc config core.autostage true"
data/raw/alpaca_historical_microstructure/feed=sip/quotes/HOOD.csv,0,ADDED,"To track the changes with git, run: |  | 	git add 'data\raw\alpaca_historical_microstructure\feed=sip\quotes\.gitignore' 'data\raw\alpaca_historical_microstructure\feed=sip\quotes\HOOD.csv.dvc' |  | To enable auto staging, run: |  | 	dvc config core.autostage true"
data/raw/alpaca_historical_microstructure/feed=sip/quotes/IBIT.csv,0,ADDED,"To track the changes with git, run: |  | 	git add 'data\raw\alpaca_historical_microstructure\feed=sip\quotes\IBIT.csv.dvc' 'data\raw\alpaca_historical_microstructure\feed=sip\quotes\.gitignore' |  | To enable auto staging, run: |  | 	dvc config core.autostage true"
data/raw/alpaca_historical_microstructure/feed=sip/quotes/MRVL.csv,0,ADDED,"To track the changes with git, run: |  | 	git add 'data\raw\alpaca_historical_microstructure\feed=sip\quotes\MRVL.csv.dvc' 'data\raw\alpaca_historical_microstructure\feed=sip\quotes\.gitignore' |  | To enable auto staging, run: |  | 	dvc config core.autostage true"
data/raw/alpaca_historical_microstructure/feed=sip/quotes/NVDA.csv,0,ADDED,"To track the changes with git, run: |  | 	git add 'data\raw\alpaca_historical_microstructure\feed=sip\quotes\NVDA.csv.dvc' 'data\raw\alpaca_historical_microstructure\feed=sip\quotes\.gitignore' |  | To enable auto staging, run: |  | 	dvc config core.autostage true"
data/raw/alpaca_historical_microstructure/feed=sip/quotes/PLTR.csv,0,ADDED,"To track the changes with git, run: |  | 	git add 'data\raw\alpaca_historical_microstructure\feed=sip\quotes\.gitignore' 'data\raw\alpaca_historical_microstructure\feed=sip\quotes\PLTR.csv.dvc' |  | To enable auto staging, run: |  | 	dvc config core.autostage true"
data/raw/alpaca_historical_microstructure/feed=sip/trades/AMD.csv,0,ADDED,"To track the changes with git, run: |  | 	git add 'data\raw\alpaca_historical_microstructure\feed=sip\trades\AMD.csv.dvc' 'data\raw\alpaca_historical_microstructure\feed=sip\trades\.gitignore' |  | To enable auto staging, run: |  | 	dvc config core.autostage true"
data/raw/alpaca_historical_microstructure/feed=sip/trades/AMZN.csv,0,ADDED,"To track the changes with git, run: |  | 	git add 'data\raw\alpaca_historical_microstructure\feed=sip\trades\.gitignore' 'data\raw\alpaca_historical_microstructure\feed=sip\trades\AMZN.csv.dvc' |  | To enable auto staging, run: |  | 	dvc config core.autostage true"
data/task384_offline_canonical_smoke_continuation_capture.jsonl,0,ADDED,"To track the changes with git, run: |  | 	git add 'data\.gitignore' 'data\task384_offline_canonical_smoke_continuation_capture.jsonl.dvc' |  | To enable auto staging, run: |  | 	dvc config core.autostage true"
docs/archive/local_downloads/2026_06,0,ADDED,"To track the changes with git, run: |  | 	git add 'docs\archive\local_downloads\2026_06.dvc' 'docs\archive\local_downloads\.gitignore' |  | To enable auto staging, run: |  | 	dvc config core.autostage true"
docs/archive/runtime_logs/2026_06,0,ADDED,"To track the changes with git, run: |  | 	git add 'docs\archive\runtime_logs\2026_06.dvc' 'docs\archive\runtime_logs\.gitignore' |  | To enable auto staging, run: |  | 	dvc config core.autostage true"
docs/archive/tmp/2026_06,0,ADDED,"To track the changes with git, run: |  | 	git add 'docs\archive\tmp\2026_06.dvc' 'docs\archive\tmp\.gitignore' |  | To enable auto staging, run: |  | 	dvc config core.autostage true"
frontend/trader-terminal/public/catalog/trader_terminal_catalog.json,0,ADDED,"To track the changes with git, run: |  | 	git add 'frontend\trader-terminal\public\catalog\.gitignore' 'frontend\trader-terminal\public\catalog\trader_terminal_catalog.json.dvc' |  | To enable auto staging, run: |  | 	dvc config core.autostage true"
