artifact_type,path,description,validation_status
code,tools/db/source_acquisition/public_newswire_collector.py,Public newswire RSS/sitemap/static collector with deterministic ticker/entity mapper expanded v0.1.3 context-candidate classification gzip sitemap support historical backfill mode and BusinessWire unavailable-archive handling,validated
code,scripts/run_l0_public_newswire_collector.py,CLI runner for smoke/background/backfill public newswire collection,validated
code,scripts/start_l0_public_newswire_collector.ps1,Background starter for public newswire collector,validated
code,scripts/start_l0_public_newswire_backfill.ps1,Background starter for separate public newswire historical backfill lane,validated
config,configs/source_registry/l0_public_news_capability_sources.json,Updated newswire source routes including PRNewswire and GlobeNewswire news sitemaps plus BusinessWire public feed,validated
config,configs/db_source_acquisition_scheduler.json,Added public_newswire_feeds source family and regular diagnostic job entry,validated
code,tools/db/news_l0_l1.py,Added L1 provider spec for public_newswire_feeds,validated
code,src/l2/news_runtime.py,Added L2 parser/default path for public_newswire_feeds events with mapping metadata preservation,validated
code,src/brain/l3/source_reliability.py,Maps public_newswire_feeds to news_discovery_proxy authority,validated
code,tools/db/source_acquisition/l0_collection_status.py,Adds Newswire watcher and historical backfill progress lines to L0 status report including unavailable archive counts,validated
test,tests/test_l0_public_newswire_collector.py,Unit tests for feed sitemap filters gzip support smoke harness deterministic entity mapping expanded context-candidate classification exclusions and BusinessWire 403 archive skip behavior,validated
test,tests/test_l0_collection_status.py,Extended status tests for Newswire progress,validated
test,tests/test_l2_news_canonical_path.py,Extended L2 tests for public_newswire mapping metadata preservation,validated
smoke,data/artifacts/l0_public_newswire_smoke_v2/collector_events.jsonl,Real-network v2 smoke with 75 rows,validated
smoke_raw,data/raw/l0_public_newswire_smoke_v2,Real-network v2 smoke raw responses; 49 files and 1696913 bytes,validated
mapping_smoke,data/artifacts/l0_public_newswire_mapping_smoke_v3/collector_events.jsonl,Real-network mapping smoke with 75 rows and 23 mapped discovery-ready rows,validated
mapping_smoke_raw,data/raw/l0_public_newswire_mapping_smoke_v3,Real-network mapping smoke raw responses,validated
backfill_smoke,data/artifacts/l0_public_newswire_backfill_smoke_v2/collector_events.jsonl,Real-network bounded historical backfill smoke with 15 rows across three sources,validated
backfill_smoke_raw,data/raw/l0_public_newswire_backfill_smoke_v2,Real-network bounded historical backfill raw responses,validated
backfill_l2_smoke,data/artifacts/l0_public_newswire_backfill_l2_smoke/news_l2_smoke.db,L2 backfill smoke DB with 15 public_newswire_feeds facts and no trade/score outputs,validated
background,data/artifacts/l0_public_newswire/collector_events.jsonl,Regular background event ledger; 1500 cumulative rows and 234 L1-ready-discovery rows at snapshot,validated
backfill_background,data/artifacts/l0_public_newswire_backfill/collector_events.jsonl,Historical backfill event ledger; 1600 cumulative rows and 275 L1-ready-discovery rows at snapshot,validated
backfill_background_state,data/artifacts/l0_public_newswire_backfill/collector_progress.json,Historical backfill progress state with 257/4099 archives and 249 BusinessWire unavailable archives at snapshot,validated
background_raw,data/raw/l0_public_newswire,Regular background raw responses with mapper-aware cycle,validated
l2_smoke,data/artifacts/l0_public_newswire_mapping_l2_smoke_v3/news_l2_smoke.db,L2 mapping smoke DB with 75 public_newswire_feeds facts mapping metadata and no trade/score outputs,validated
context_refine_smoke,data/artifacts/l0_public_newswire_context_refine_smoke_v6/collector_events.jsonl,Real-network context refinement smoke v6 with 100 rows 28 ticker-mapped 27 context-ready and 45 blocked rows,validated
context_refine_raw,data/raw/l0_public_newswire_context_refine_smoke_v6,Raw responses for context refinement smoke v6,validated
context_refine_l2_smoke,data/artifacts/l0_public_newswire_context_refine_l2_smoke_v6/news_l2_smoke.db,L2 context refinement smoke DB with 101 facts and no trade/score outputs,validated
