source_family,receipt_count,reference_hash_count,lineage_edge_count,authority_ledger_status,missing_condition
authority_evidence_ledger,11,14,10,PASS_DIAGNOSTIC,
broker_truth_reconciliation,15,18,14,PASS_DIAGNOSTIC,
catalog_report_artifacts,11,6,11,PASS_DIAGNOSTIC,
daily_ohlcv,22,19,22,PASS_DIAGNOSTIC,
diagnostic_runtime_heartbeats,16,24,15,PASS_DIAGNOSTIC,
frontend_read_models,10,5,10,PASS_DIAGNOSTIC,
indicator_snapshots,12,3,11,PASS_DIAGNOSTIC,
macro_rates,18,12,18,PASS_DIAGNOSTIC,
market_bars_5m,26,18,25,PASS_DIAGNOSTIC,
market_ticks_intraday,25,18,24,PASS_DIAGNOSTIC,
runtime_strategy_decisions,12,3,11,PASS_DIAGNOSTIC,
sec_events,17,8,17,PASS_DIAGNOSTIC,
