date,status,open_et,close_et,name,source
2026-01-01,closed,,,New Year's Day,https://www.nasdaq.com/holiday-trading-hours
2026-01-19,closed,,,Martin Luther King Jr. Day,https://www.nasdaq.com/holiday-trading-hours
2026-02-16,closed,,,Presidents Day,https://www.nasdaq.com/holiday-trading-hours
2026-04-03,closed,,,Good Friday,https://www.nasdaq.com/holiday-trading-hours
2026-05-25,closed,,,Memorial Day,https://www.nasdaq.com/holiday-trading-hours
2026-06-19,closed,,,Juneteenth,https://www.nasdaq.com/holiday-trading-hours
2026-07-03,closed,,,Independence Day Observed,https://www.nasdaq.com/holiday-trading-hours
2026-09-07,closed,,,Labor Day,https://www.nasdaq.com/holiday-trading-hours
2026-11-26,closed,,,Thanksgiving Day,https://www.nasdaq.com/holiday-trading-hours
2026-11-27,early_close,09:30,13:00,Day After Thanksgiving Early Close,https://www.nasdaq.com/holiday-trading-hours
2026-12-24,early_close,09:30,13:00,Christmas Eve Early Close,https://www.nasdaq.com/holiday-trading-hours
2026-12-25,closed,,,Christmas Day,https://www.nasdaq.com/holiday-trading-hours
