group,file_count,size_bytes
data,960,8429425085
docs,2483,470804308
frontend,8786,357946190
trading-DESKTOP-2R00TB4-2.db,1,24633344
trading.db,1,24608768
trading-DESKTOP-2R00TB4.db,1,24293376
trading-DESKTOP-TFM86SG-2.db,1,23314432
trading-DESKTOP-TFM86SG.db,1,11382784
graphify-out,4,8479843
src,421,5616875
tests,249,1208927
scripts,36,238664
tasks,59,159906
context,9,40402
skills,3,12724
phases,3,11212
.obsidian,6,7311
prompts,3,6374
README.md,1,6247
.github,6,5475
validate_readiness_registry.py,1,4909
AGENTS.md,1,4400
configs,1,1886
config,2,1448
templates,2,1418
.gitignore,1,528
.kis_token_cache.json,1,489
.graphifyignore,1,430
.dvcignore,1,142
.env,1,101
.dvc,2,29
