loop_id,user_goal,task_candidate,expert_role,gpt_mode,prompt_artifact,gpt_response_artifact,codex_action,validation_result,review_prompt_artifact,review_response_artifact,status,stop_reason
1,next 10 safe diagnostic loops,task_3856_task_registry_formal_recovery_plan,GPT expert panel,Agent Mode with GitHub,docs\reports\task_3856_3865_gpt_next10_loop_run\gpt_priority_response.md,docs\reports\task_3856_3865_gpt_next10_loop_run\gpt_priority_response.md,generated isolated read-only diagnostic artifacts,validator PASS,,,complete,
2,next 10 safe diagnostic loops,task_3857_missing_loop_ledger_recovery,GPT expert panel,Agent Mode with GitHub,docs\reports\task_3856_3865_gpt_next10_loop_run\gpt_priority_response.md,docs\reports\task_3856_3865_gpt_next10_loop_run\gpt_priority_response.md,generated isolated read-only diagnostic artifacts,validator PASS,,,complete,
3,next 10 safe diagnostic loops,task_3858_cleanup_candidate_decision_review,GPT expert panel,Agent Mode with GitHub,docs\reports\task_3856_3865_gpt_next10_loop_run\gpt_priority_response.md,docs\reports\task_3856_3865_gpt_next10_loop_run\gpt_priority_response.md,generated isolated read-only diagnostic artifacts,validator PASS,,,complete,
4,next 10 safe diagnostic loops,task_3859_source_authority_proof_requirements_v2,GPT expert panel,Agent Mode with GitHub,docs\reports\task_3856_3865_gpt_next10_loop_run\gpt_priority_response.md,docs\reports\task_3856_3865_gpt_next10_loop_run\gpt_priority_response.md,generated isolated read-only diagnostic artifacts,validator PASS,,,complete,
5,next 10 safe diagnostic loops,task_3860_freshness_proof_chain_audit,GPT expert panel,Agent Mode with GitHub,docs\reports\task_3856_3865_gpt_next10_loop_run\gpt_priority_response.md,docs\reports\task_3856_3865_gpt_next10_loop_run\gpt_priority_response.md,generated isolated read-only diagnostic artifacts,validator PASS,,,complete,
6,next 10 safe diagnostic loops,task_3861_sec_user_agent_operator_evidence_plan,GPT expert panel,Agent Mode with GitHub,docs\reports\task_3856_3865_gpt_next10_loop_run\gpt_priority_response.md,docs\reports\task_3856_3865_gpt_next10_loop_run\gpt_priority_response.md,generated isolated read-only diagnostic artifacts,validator PASS,,,complete,
7,next 10 safe diagnostic loops,task_3862_runtime_broker_safety_proof_v2,GPT expert panel,Agent Mode with GitHub,docs\reports\task_3856_3865_gpt_next10_loop_run\gpt_priority_response.md,docs\reports\task_3856_3865_gpt_next10_loop_run\gpt_priority_response.md,generated isolated read-only diagnostic artifacts,validator PASS,,,complete,
8,next 10 safe diagnostic loops,task_3863_paper_gate_dependency_proof,GPT expert panel,Agent Mode with GitHub,docs\reports\task_3856_3865_gpt_next10_loop_run\gpt_priority_response.md,docs\reports\task_3856_3865_gpt_next10_loop_run\gpt_priority_response.md,generated isolated read-only diagnostic artifacts,validator PASS,,,complete,
9,next 10 safe diagnostic loops,task_3864_native_ios_evidence_collection_runbook,GPT expert panel,Agent Mode with GitHub,docs\reports\task_3856_3865_gpt_next10_loop_run\gpt_priority_response.md,docs\reports\task_3856_3865_gpt_next10_loop_run\gpt_priority_response.md,generated isolated read-only diagnostic artifacts,validator PASS,,,complete,
10,next 10 safe diagnostic loops,task_3865_next10_closeout_decision_pack,GPT expert panel,Agent Mode with GitHub,docs\reports\task_3856_3865_gpt_next10_loop_run\gpt_priority_response.md,docs\reports\task_3856_3865_gpt_next10_loop_run\gpt_priority_response.md,generated isolated read-only diagnostic artifacts,validator PASS,,,complete,
