relative_path,artifact_type,description
docs/reports/task_3221_3280_backend_acceleration_program/task_3221_3280_backend_acceleration_program.md,report,Task3221-Task3280 backend acceleration program report
docs/reports/task_3221_3280_backend_acceleration_program/task_3280_decision.csv,decision,Task3221-Task3280 decision row
data/artifacts/task_3221_3280_backend_acceleration_program/candidate_inventory.csv,inventory,Accelerator migration candidate inventory
data/artifacts/task_3221_3280_backend_acceleration_program/catalog_acceleration_result.csv,validation,Catalog lane focused parity result
data/artifacts/task_3221_3280_backend_acceleration_program/catalog_engine_parity.csv,validation,Catalog Polars DuckDB fixture parity
data/artifacts/task_3221_3280_backend_acceleration_program/backtest_core_metrics_acceleration_result.csv,validation,Backtest core metrics parity result
data/artifacts/task_3221_3280_backend_acceleration_program/source_panel_acceleration_result.csv,validation,Source panel migration result
data/artifacts/task_3221_3280_backend_acceleration_program/source_panel_regeneration_commands.csv,validation,Current-code Task3142 and Task3143 regeneration evidence
data/artifacts/task_3221_3280_backend_acceleration_program/program_acceptance_checks.csv,validation,Program closeout checks
data/artifacts/task_3221_3280_backend_acceleration_program/program_validation_commands.csv,validation,Full listed validation command evidence
data/artifacts/task_3221_3280_backend_acceleration_program/artifact_manifest.csv,manifest,Generated artifact manifest
