task_id,candidate_id,decision_id,symbol,generated_time,rank_score,liquidity_score,diversification_score,cooldown_score,existing_position_penalty,total_control_score,selection_decision,selection_reason,source_status,sector,sector_cap_status,liquidity_source_status,symbol_cooldown_minutes,cooldown_elapsed_minutes,same_symbol_weight_cap,same_sector_weight_cap,original_eligibility,original_skip_reason,original_ordered_flag,original_filled_flag,order_id,fill_id,source_snapshot_id,proximity_fallback_used_flag,explanation
T601-3,decision-70898974b003462f,decision-70898974b003462f,MSFT,2026-05-19T15:52:33.652229Z,0.563636,0.0,1.0,1.0,0.0,0.913636,REJECTED,ENTRY_OR_SOURCE_BLOCKED_BY_FUNNEL,ENTRY_OR_SOURCE_BLOCKED_BY_FUNNEL,,SOURCE_BLOCKED_SECTOR_UNAVAILABLE,SOURCE_BLOCKED_NO_LIQUIDITY_FIELD,390,,0.25,0.5,INELIGIBLE_UNKNOWN,STRATEGY_FILTER_NOT_MET NO_ENTRY,0,0,,,2026-05-19T15:52:20.939158Z:MSFT,0,REJECTED: ENTRY_OR_SOURCE_BLOCKED_BY_FUNNEL; source=ENTRY_OR_SOURCE_BLOCKED_BY_FUNNEL; rank_score=0.563636; liquidity_score=0.000000; diversification_score=1.000000; cooldown_score=1.000000; existing_position_penalty=0.000000; sector_cap_status=SOURCE_BLOCKED_SECTOR_UNAVAILABLE; matching_policy=EXACT_CANDIDATE_ID_ONLY_NO_SYMBOL_DATE_PRICE_TIME_FALLBACK
T601-3,decision-dca48bf422ea4472,decision-dca48bf422ea4472,MSFT,2026-05-19T15:59:59.673693Z,0.563636,0.0,1.0,1.0,0.0,0.913636,REJECTED,ENTRY_OR_SOURCE_BLOCKED_BY_FUNNEL,ENTRY_OR_SOURCE_BLOCKED_BY_FUNNEL,,SOURCE_BLOCKED_SECTOR_UNAVAILABLE,SOURCE_BLOCKED_NO_LIQUIDITY_FIELD,390,,0.25,0.5,INELIGIBLE_UNKNOWN,STRATEGY_FILTER_NOT_MET NO_ENTRY,0,0,,,2026-05-19T15:59:55.877473Z:MSFT,0,REJECTED: ENTRY_OR_SOURCE_BLOCKED_BY_FUNNEL; source=ENTRY_OR_SOURCE_BLOCKED_BY_FUNNEL; rank_score=0.563636; liquidity_score=0.000000; diversification_score=1.000000; cooldown_score=1.000000; existing_position_penalty=0.000000; sector_cap_status=SOURCE_BLOCKED_SECTOR_UNAVAILABLE; matching_policy=EXACT_CANDIDATE_ID_ONLY_NO_SYMBOL_DATE_PRICE_TIME_FALLBACK
T601-3,decision-b87946c256df48f8,decision-b87946c256df48f8,AMD,2026-05-19T16:03:46.688472Z,0.522727,0.0,1.0,1.0,0.0,0.872727,SELECTED,PASSED_RANK_LIQUIDITY_DIVERSIFICATION_COOLDOWN_POSITION_CONTROLS,ELIGIBLE_FROM_FUNNEL,,SOURCE_BLOCKED_SECTOR_UNAVAILABLE,SOURCE_BLOCKED_NO_LIQUIDITY_FIELD,390,,0.25,0.5,ELIGIBLE,,1,1,36477.0,0000036477:2026-05-19T17:17:06.974797Z:ORDER_STATUS,2026-05-19T16:03:42.971781Z:AMD,0,SELECTED: PASSED_RANK_LIQUIDITY_DIVERSIFICATION_COOLDOWN_POSITION_CONTROLS; source=ELIGIBLE_FROM_FUNNEL; rank_score=0.522727; liquidity_score=0.000000; diversification_score=1.000000; cooldown_score=1.000000; existing_position_penalty=0.000000; sector_cap_status=SOURCE_BLOCKED_SECTOR_UNAVAILABLE; matching_policy=EXACT_CANDIDATE_ID_ONLY_NO_SYMBOL_DATE_PRICE_TIME_FALLBACK
T601-3,decision-09482ebbbd9441ed,decision-09482ebbbd9441ed,AMD,2026-05-19T16:09:27.412780Z,0.522727,0.0,0.666667,0.0,0.333333,0.622727,REJECTED,SYMBOL_COOLDOWN_ACTIVE_390_MINUTES,ELIGIBLE_FROM_FUNNEL,,SOURCE_BLOCKED_SECTOR_UNAVAILABLE,SOURCE_BLOCKED_NO_LIQUIDITY_FIELD,390,5.6787,0.25,0.5,ELIGIBLE,,0,0,,,2026-05-19T16:09:24.506187Z:AMD,0,REJECTED: SYMBOL_COOLDOWN_ACTIVE_390_MINUTES; source=ELIGIBLE_FROM_FUNNEL; rank_score=0.522727; liquidity_score=0.000000; diversification_score=0.666667; cooldown_score=0.000000; existing_position_penalty=0.333333; sector_cap_status=SOURCE_BLOCKED_SECTOR_UNAVAILABLE; matching_policy=EXACT_CANDIDATE_ID_ONLY_NO_SYMBOL_DATE_PRICE_TIME_FALLBACK
T601-3,decision-524deefb41c54e47,decision-524deefb41c54e47,AMD,2026-05-19T16:11:37.806901Z,0.522727,0.0,0.666667,0.0,0.333333,0.622727,REJECTED,SYMBOL_COOLDOWN_ACTIVE_390_MINUTES,ELIGIBLE_FROM_FUNNEL,,SOURCE_BLOCKED_SECTOR_UNAVAILABLE,SOURCE_BLOCKED_NO_LIQUIDITY_FIELD,390,7.852,0.25,0.5,ELIGIBLE,,0,0,,,2026-05-19T16:11:35.129791Z:AMD,0,REJECTED: SYMBOL_COOLDOWN_ACTIVE_390_MINUTES; source=ELIGIBLE_FROM_FUNNEL; rank_score=0.522727; liquidity_score=0.000000; diversification_score=0.666667; cooldown_score=0.000000; existing_position_penalty=0.333333; sector_cap_status=SOURCE_BLOCKED_SECTOR_UNAVAILABLE; matching_policy=EXACT_CANDIDATE_ID_ONLY_NO_SYMBOL_DATE_PRICE_TIME_FALLBACK
T601-3,decision-06da610be35b4c1b,decision-06da610be35b4c1b,AMD,2026-05-19T16:13:02.383517Z,0.522727,0.0,0.666667,0.0,0.333333,0.622727,REJECTED,SYMBOL_COOLDOWN_ACTIVE_390_MINUTES,ELIGIBLE_FROM_FUNNEL,,SOURCE_BLOCKED_SECTOR_UNAVAILABLE,SOURCE_BLOCKED_NO_LIQUIDITY_FIELD,390,9.2616,0.25,0.5,ELIGIBLE,,0,0,,,2026-05-19T16:12:59.733266Z:AMD,0,REJECTED: SYMBOL_COOLDOWN_ACTIVE_390_MINUTES; source=ELIGIBLE_FROM_FUNNEL; rank_score=0.522727; liquidity_score=0.000000; diversification_score=0.666667; cooldown_score=0.000000; existing_position_penalty=0.333333; sector_cap_status=SOURCE_BLOCKED_SECTOR_UNAVAILABLE; matching_policy=EXACT_CANDIDATE_ID_ONLY_NO_SYMBOL_DATE_PRICE_TIME_FALLBACK
T601-3,decision-c2300f86f3f040ae,decision-c2300f86f3f040ae,AMD,2026-05-19T16:13:57.387858Z,0.522727,0.0,0.666667,0.0,0.333333,0.622727,REJECTED,SYMBOL_COOLDOWN_ACTIVE_390_MINUTES,ELIGIBLE_FROM_FUNNEL,,SOURCE_BLOCKED_SECTOR_UNAVAILABLE,SOURCE_BLOCKED_NO_LIQUIDITY_FIELD,390,10.1783,0.25,0.5,ELIGIBLE,,0,0,,,2026-05-19T16:13:54.791525Z:AMD,0,REJECTED: SYMBOL_COOLDOWN_ACTIVE_390_MINUTES; source=ELIGIBLE_FROM_FUNNEL; rank_score=0.522727; liquidity_score=0.000000; diversification_score=0.666667; cooldown_score=0.000000; existing_position_penalty=0.333333; sector_cap_status=SOURCE_BLOCKED_SECTOR_UNAVAILABLE; matching_policy=EXACT_CANDIDATE_ID_ONLY_NO_SYMBOL_DATE_PRICE_TIME_FALLBACK
T601-3,decision-4687cc2de3b24e40,decision-4687cc2de3b24e40,AMD,2026-05-19T16:17:34.996277Z,0.522727,0.0,0.666667,0.0,0.333333,0.622727,REJECTED,SYMBOL_COOLDOWN_ACTIVE_390_MINUTES,ELIGIBLE_FROM_FUNNEL,,SOURCE_BLOCKED_SECTOR_UNAVAILABLE,SOURCE_BLOCKED_NO_LIQUIDITY_FIELD,390,13.8051,0.25,0.5,ELIGIBLE,,0,0,,,2026-05-19T16:17:32.328526Z:AMD,0,REJECTED: SYMBOL_COOLDOWN_ACTIVE_390_MINUTES; source=ELIGIBLE_FROM_FUNNEL; rank_score=0.522727; liquidity_score=0.000000; diversification_score=0.666667; cooldown_score=0.000000; existing_position_penalty=0.333333; sector_cap_status=SOURCE_BLOCKED_SECTOR_UNAVAILABLE; matching_policy=EXACT_CANDIDATE_ID_ONLY_NO_SYMBOL_DATE_PRICE_TIME_FALLBACK
T601-3,decision-e48d3d310e514751,decision-e48d3d310e514751,AMD,2026-05-19T16:21:54.476546Z,0.522727,0.0,0.666667,0.0,0.333333,0.622727,REJECTED,SYMBOL_COOLDOWN_ACTIVE_390_MINUTES,ELIGIBLE_FROM_FUNNEL,,SOURCE_BLOCKED_SECTOR_UNAVAILABLE,SOURCE_BLOCKED_NO_LIQUIDITY_FIELD,390,18.1298,0.25,0.5,ELIGIBLE,,0,0,,,2026-05-19T16:21:51.441946Z:AMD,0,REJECTED: SYMBOL_COOLDOWN_ACTIVE_390_MINUTES; source=ELIGIBLE_FROM_FUNNEL; rank_score=0.522727; liquidity_score=0.000000; diversification_score=0.666667; cooldown_score=0.000000; existing_position_penalty=0.333333; sector_cap_status=SOURCE_BLOCKED_SECTOR_UNAVAILABLE; matching_policy=EXACT_CANDIDATE_ID_ONLY_NO_SYMBOL_DATE_PRICE_TIME_FALLBACK
T601-3,decision-99b1b6a3683e43d6,decision-99b1b6a3683e43d6,AMD,2026-05-19T16:24:27.974389Z,0.522727,0.0,0.666667,0.0,0.333333,0.622727,REJECTED,SYMBOL_COOLDOWN_ACTIVE_390_MINUTES,ELIGIBLE_FROM_FUNNEL,,SOURCE_BLOCKED_SECTOR_UNAVAILABLE,SOURCE_BLOCKED_NO_LIQUIDITY_FIELD,390,20.6881,0.25,0.5,ELIGIBLE,,0,0,,,2026-05-19T16:24:25.254132Z:AMD,0,REJECTED: SYMBOL_COOLDOWN_ACTIVE_390_MINUTES; source=ELIGIBLE_FROM_FUNNEL; rank_score=0.522727; liquidity_score=0.000000; diversification_score=0.666667; cooldown_score=0.000000; existing_position_penalty=0.333333; sector_cap_status=SOURCE_BLOCKED_SECTOR_UNAVAILABLE; matching_policy=EXACT_CANDIDATE_ID_ONLY_NO_SYMBOL_DATE_PRICE_TIME_FALLBACK
T601-3,decision-dc78bbc6c96c40e9,decision-dc78bbc6c96c40e9,AMD,2026-05-19T16:26:09.609793Z,0.522727,0.0,0.666667,0.0,0.333333,0.622727,REJECTED,SYMBOL_COOLDOWN_ACTIVE_390_MINUTES,ELIGIBLE_FROM_FUNNEL,,SOURCE_BLOCKED_SECTOR_UNAVAILABLE,SOURCE_BLOCKED_NO_LIQUIDITY_FIELD,390,22.382,0.25,0.5,ELIGIBLE,,0,0,,,2026-05-19T16:26:06.870075Z:AMD,0,REJECTED: SYMBOL_COOLDOWN_ACTIVE_390_MINUTES; source=ELIGIBLE_FROM_FUNNEL; rank_score=0.522727; liquidity_score=0.000000; diversification_score=0.666667; cooldown_score=0.000000; existing_position_penalty=0.333333; sector_cap_status=SOURCE_BLOCKED_SECTOR_UNAVAILABLE; matching_policy=EXACT_CANDIDATE_ID_ONLY_NO_SYMBOL_DATE_PRICE_TIME_FALLBACK
