report_dir,relative_path,source_path,target_path,migration_action,migration_status,size_bytes,sha256,message
task_406_deterministic_decision_rebuild,decision_factor_lineage_audit.csv,docs/reports/task_406_deterministic_decision_rebuild/decision_factor_lineage_audit.csv,data/artifacts/task_406_deterministic_decision_rebuild/decision_factor_lineage_audit.csv,keep_small_or_report_artifact,skipped,244167078,,keep_small_or_report_artifact
task_406_deterministic_decision_rebuild,decision_source_discipline_audit.csv,docs/reports/task_406_deterministic_decision_rebuild/decision_source_discipline_audit.csv,data/artifacts/task_406_deterministic_decision_rebuild/decision_source_discipline_audit.csv,keep_small_or_report_artifact,skipped,1759,,keep_small_or_report_artifact
task_406_deterministic_decision_rebuild,enriched_decision_snapshot_log.csv,docs/reports/task_406_deterministic_decision_rebuild/enriched_decision_snapshot_log.csv,data/artifacts/task_406_deterministic_decision_rebuild/enriched_decision_snapshot_log.csv,keep_small_or_report_artifact,skipped,593424967,,keep_small_or_report_artifact
task_406_deterministic_decision_rebuild,enriched_entry_candidate_log.csv,docs/reports/task_406_deterministic_decision_rebuild/enriched_entry_candidate_log.csv,data/artifacts/task_406_deterministic_decision_rebuild/enriched_entry_candidate_log.csv,skip_referenced,skipped,465947726,,skip_referenced
task_406_deterministic_decision_rebuild,raw_decision_rebuild_comparison.csv,docs/reports/task_406_deterministic_decision_rebuild/raw_decision_rebuild_comparison.csv,data/artifacts/task_406_deterministic_decision_rebuild/raw_decision_rebuild_comparison.csv,keep_small_or_report_artifact,skipped,246,,keep_small_or_report_artifact
task_406_deterministic_decision_rebuild,task_406_deterministic_decision_rebuild.md,docs/reports/task_406_deterministic_decision_rebuild/task_406_deterministic_decision_rebuild.md,data/artifacts/task_406_deterministic_decision_rebuild/task_406_deterministic_decision_rebuild.md,keep_small_or_report_artifact,skipped,907,,keep_small_or_report_artifact
task_406_deterministic_decision_rebuild,task_406b_decision.csv,docs/reports/task_406_deterministic_decision_rebuild/task_406b_decision.csv,data/artifacts/task_406_deterministic_decision_rebuild/task_406b_decision.csv,keep_small_or_report_artifact,skipped,482,,keep_small_or_report_artifact
task_401_forward_live_canonical_multifactor_decision_layer,decision_ordering_invariant_audit.csv,docs/reports/task_401_forward_live_canonical_multifactor_decision_layer/decision_ordering_invariant_audit.csv,data/artifacts/task_401_forward_live_canonical_multifactor_decision_layer/decision_ordering_invariant_audit.csv,keep_small_or_report_artifact,skipped,66,,keep_small_or_report_artifact
task_401_forward_live_canonical_multifactor_decision_layer,multifactor_accepted_lifecycle_event_log.csv,docs/reports/task_401_forward_live_canonical_multifactor_decision_layer/multifactor_accepted_lifecycle_event_log.csv,data/artifacts/task_401_forward_live_canonical_multifactor_decision_layer/multifactor_accepted_lifecycle_event_log.csv,skip_referenced,skipped,29153946,,skip_referenced
task_401_forward_live_canonical_multifactor_decision_layer,multifactor_bucket_quality_offline_label_audit.csv,docs/reports/task_401_forward_live_canonical_multifactor_decision_layer/multifactor_bucket_quality_offline_label_audit.csv,data/artifacts/task_401_forward_live_canonical_multifactor_decision_layer/multifactor_bucket_quality_offline_label_audit.csv,keep_small_or_report_artifact,skipped,223,,keep_small_or_report_artifact
task_401_forward_live_canonical_multifactor_decision_layer,multifactor_continuation_decision_log.csv,docs/reports/task_401_forward_live_canonical_multifactor_decision_layer/multifactor_continuation_decision_log.csv,data/artifacts/task_401_forward_live_canonical_multifactor_decision_layer/multifactor_continuation_decision_log.csv,keep_small_or_report_artifact,skipped,126431119,,keep_small_or_report_artifact
task_401_forward_live_canonical_multifactor_decision_layer,multifactor_decision_snapshot_log.csv,docs/reports/task_401_forward_live_canonical_multifactor_decision_layer/multifactor_decision_snapshot_log.csv,data/artifacts/task_401_forward_live_canonical_multifactor_decision_layer/multifactor_decision_snapshot_log.csv,keep_small_or_report_artifact,skipped,592378205,,keep_small_or_report_artifact
task_401_forward_live_canonical_multifactor_decision_layer,multifactor_entry_candidate_log.csv,docs/reports/task_401_forward_live_canonical_multifactor_decision_layer/multifactor_entry_candidate_log.csv,data/artifacts/task_401_forward_live_canonical_multifactor_decision_layer/multifactor_entry_candidate_log.csv,skip_referenced,skipped,465947726,,skip_referenced
task_401_forward_live_canonical_multifactor_decision_layer,multifactor_filter_component_audit.csv,docs/reports/task_401_forward_live_canonical_multifactor_decision_layer/multifactor_filter_component_audit.csv,data/artifacts/task_401_forward_live_canonical_multifactor_decision_layer/multifactor_filter_component_audit.csv,keep_small_or_report_artifact,skipped,4693,,keep_small_or_report_artifact
task_401_forward_live_canonical_multifactor_decision_layer,multifactor_leakage_audit.csv,docs/reports/task_401_forward_live_canonical_multifactor_decision_layer/multifactor_leakage_audit.csv,data/artifacts/task_401_forward_live_canonical_multifactor_decision_layer/multifactor_leakage_audit.csv,keep_small_or_report_artifact,skipped,534,,keep_small_or_report_artifact
task_401_forward_live_canonical_multifactor_decision_layer,multifactor_policy_comparison_audit.csv,docs/reports/task_401_forward_live_canonical_multifactor_decision_layer/multifactor_policy_comparison_audit.csv,data/artifacts/task_401_forward_live_canonical_multifactor_decision_layer/multifactor_policy_comparison_audit.csv,keep_small_or_report_artifact,skipped,386,,keep_small_or_report_artifact
task_401_forward_live_canonical_multifactor_decision_layer,multifactor_rejected_candidate_audit.csv,docs/reports/task_401_forward_live_canonical_multifactor_decision_layer/multifactor_rejected_candidate_audit.csv,data/artifacts/task_401_forward_live_canonical_multifactor_decision_layer/multifactor_rejected_candidate_audit.csv,keep_small_or_report_artifact,skipped,174809,,keep_small_or_report_artifact
task_401_forward_live_canonical_multifactor_decision_layer,source_discipline_audit.csv,docs/reports/task_401_forward_live_canonical_multifactor_decision_layer/source_discipline_audit.csv,data/artifacts/task_401_forward_live_canonical_multifactor_decision_layer/source_discipline_audit.csv,keep_small_or_report_artifact,skipped,369,,keep_small_or_report_artifact
task_401_forward_live_canonical_multifactor_decision_layer,task_401_decision.csv,docs/reports/task_401_forward_live_canonical_multifactor_decision_layer/task_401_decision.csv,data/artifacts/task_401_forward_live_canonical_multifactor_decision_layer/task_401_decision.csv,keep_small_or_report_artifact,skipped,629,,keep_small_or_report_artifact
task_401_forward_live_canonical_multifactor_decision_layer,task_401_forward_live_canonical_multifactor_decision_layer.md,docs/reports/task_401_forward_live_canonical_multifactor_decision_layer/task_401_forward_live_canonical_multifactor_decision_layer.md,data/artifacts/task_401_forward_live_canonical_multifactor_decision_layer/task_401_forward_live_canonical_multifactor_decision_layer.md,keep_small_or_report_artifact,skipped,2454,,keep_small_or_report_artifact
task_407_raw_native_vectorized_rebuild,entry_reduce_failure_decomposition.csv,docs/reports/task_407_raw_native_vectorized_rebuild/entry_reduce_failure_decomposition.csv,data/artifacts/task_407_raw_native_vectorized_rebuild/entry_reduce_failure_decomposition.csv,keep_small_or_report_artifact,skipped,2152,,keep_small_or_report_artifact
task_407_raw_native_vectorized_rebuild,raw_native_combo_quality.csv,docs/reports/task_407_raw_native_vectorized_rebuild/raw_native_combo_quality.csv,data/artifacts/task_407_raw_native_vectorized_rebuild/raw_native_combo_quality.csv,keep_small_or_report_artifact,skipped,77669,,keep_small_or_report_artifact
task_407_raw_native_vectorized_rebuild,raw_native_decision_snapshot_log.csv,docs/reports/task_407_raw_native_vectorized_rebuild/raw_native_decision_snapshot_log.csv,data/artifacts/task_407_raw_native_vectorized_rebuild/raw_native_decision_snapshot_log.csv,keep_small_or_report_artifact,skipped,354964924,,keep_small_or_report_artifact
