relative_path,artifact_class,size_bytes,sha256
artifact_manifest.csv,small_table,1859,c00753d2033393b985b3b796fbd66cf8fe736f48a63ec329821f5b88525dab0d
task725_exception_deep_review.csv,small_table,5026,de8f67e70ef069a4caa60c715d0acd5956f3e69e686a300f9a7a890831790b5b
task725_governance_audit.csv,small_table,706,6fbb213638800313b6f5199ceb07fbbd9eb75a255dca976436fd475d95fb8c0a
task725_leakage_audit.json,other,1760,fdd0b599fba7f887fed6d5106adf2c91581929b54d4945deabf8615095936c79
task725_leakage_guardrail.csv,small_table,1054,3d0b2a9c8a02fcf6622e511267142097ba688a6d8d0ae7ba319646faed54b5c6
task725_logic_error_audit.csv,small_table,642,1829b383fee19aee1bd782ce9e3640e8843b81dc33829e7e47252b59b5cd7eff
task725_logic_error_audit.json,other,945,5207652cf5bee00458dc38368a0f5f791b2a0ff44d0481e682783ec452159c7d
task725_manual_logic_review_packet.csv,small_table,476112,88ac3a4fcce918b1d4b8b21523756f9be043df3cce75bd37fc3c334c33741fa5
task725_queue1_deep_review.csv,small_table,578,80451f789cfd27a558d67627e4bf916ab4437034cc77cd8bc085577263c4d38b
task725_queue2_semantic_gap_review.csv,small_table,40222,120c09715d0850403cad83377c0fdb21349c55abde9ac3ad954e8f79c66e3fd9
task725_queue3_noise_qa.csv,small_table,436468,d87f4a9a44d65fb928e0dfb026b9938b417b6f77ed90f2026f8e8f12689d7204
task725_review_decision_summary.csv,decision,1079,34fb2da3b3d4973e13b10ad021de4a1a17d45f96b00fc7f5e96f87c0b97de7f5
task725_review_decision_summary.json,decision,2708,da6dca91c2cf40a3467f8b8f8f7bc2c9b8b549a70538f1b5a53cc55119e6bfff
task_725_decision.csv,decision,555,b98eb086932a0b18d077702276d07cd1d657f8fba98a254a86127bfb61466107
task_725_institutional_queue_logic_review.md,report,6417,e39fdf18f5401d1a1d2338917961472ef12f2b1d470bb47dd3b0115311295bb9
task_725_pass_fail_matrix.csv,small_table,728,a364bf3a6ce7a9095f59fa16a9f98a81bef7c23e0fad95d9313ec001a15a6f75
