task_id,stage5_task_id,provider,source_key,raw_path,headline_rows,mapping_pass_rows,mapping_blocker_rows,empty_provider_response,mapping_status
TASK-4126,TASK-4125,public_context_news_feeds,cftc_press_releases,data/raw/task_4125_l0_stage_5_full_2016_to_present_backfill_continuation/public_context_news_backfill/provider=public_context_news_feeds/source=cftc_press_releases/captured_at=20260629T082008776971Z/headlines.json,20,20,0,0,PASS
TASK-4126,TASK-4125,public_context_news_feeds,cftc_press_releases,data/raw/task_4125_l0_stage_5_full_2016_to_present_backfill_continuation/public_context_news_backfill/provider=public_context_news_feeds/source=cftc_press_releases/captured_at=20260629T082550609490Z/headlines.json,407,407,0,0,PASS
TASK-4126,TASK-4125,public_context_news_feeds,cftc_press_releases,data/raw/task_4125_l0_stage_5_full_2016_to_present_backfill_continuation/public_context_news_backfill/provider=public_context_news_feeds/source=cftc_press_releases/captured_at=20260629T082730024059Z/headlines.json,407,407,0,0,PASS
TASK-4126,TASK-4125,public_context_news_feeds,cftc_press_releases,data/raw/task_4125_l0_stage_5_full_2016_to_present_backfill_continuation/public_context_news_backfill/provider=public_context_news_feeds/source=cftc_press_releases/captured_at=20260629T083306831224Z/headlines.json,393,393,0,0,PASS
TASK-4126,TASK-4125,public_context_news_feeds,cftc_press_releases,data/raw/task_4125_l0_stage_5_full_2016_to_present_backfill_continuation/public_context_news_backfill/provider=public_context_news_feeds/source=cftc_press_releases/captured_at=20260629T083413071105Z/headlines.json,343,343,0,0,PASS
TASK-4126,TASK-4125,public_context_news_feeds,cftc_press_releases,data/raw/task_4125_l0_stage_5_full_2016_to_present_backfill_continuation/public_context_news_backfill/provider=public_context_news_feeds/source=cftc_press_releases/captured_at=20260629T084558129699Z/headlines.json,236,236,0,0,PASS
TASK-4126,TASK-4125,public_context_news_feeds,cftc_press_releases,data/raw/task_4125_l0_stage_5_full_2016_to_present_backfill_continuation/public_context_news_backfill/provider=public_context_news_feeds/source=cftc_press_releases/captured_at=20260629T084613267237Z/headlines.json,99,99,0,0,PASS
TASK-4126,TASK-4125,public_context_news_feeds,cftc_press_releases,data/raw/task_4125_l0_stage_5_full_2016_to_present_backfill_continuation/public_context_news_backfill/provider=public_context_news_feeds/source=cftc_press_releases/captured_at=20260629T084624161599Z/headlines.json,35,35,0,0,PASS
TASK-4126,TASK-4125,public_context_news_feeds,cftc_press_releases,data/raw/task_4125_l0_stage_5_full_2016_to_present_backfill_continuation/public_context_news_backfill/provider=public_context_news_feeds/source=cftc_press_releases/captured_at=20260629T084628561102Z/headlines.json,0,0,0,1,PASS
TASK-4126,TASK-4125,public_context_news_feeds,federal_register_documents,data/raw/task_4125_l0_stage_5_full_2016_to_present_backfill_continuation/public_context_news_backfill/provider=public_context_news_feeds/source=federal_register_documents/captured_at=20260629T082010776413Z/headlines.json,20,20,0,0,PASS
