gate,pass_flag,observed_value,required_value
gpt_review_captured,1,captured=1,GPT review must be captured as review-only artifact
same_rule_oos_pass_candidates_found,1,pass_candidates=21,at least one same-rule candidate must beat validation and recent OOS QQQ
best_same_rule_beats_task637,1,best=$7639.62; task637=$5148.31,best same-rule candidate should beat Task637 full-period result
best_same_rule_beats_task638_high_return,1,best=$7639.62; task638_high=$6660.26,best same-rule candidate should beat Task638 highest-return result
drawdown_better_than_task638_high_return,1,best_dd=-23.76%; task638_high_dd=-53.67%,best same-rule candidate should reduce the Task638 high-return drawdown
drawdown_better_than_task638_risk_controlled,1,best_dd=-23.76%; task638_risk_dd=-30.04%,best same-rule candidate should reduce the Task638 risk-controlled drawdown
same_rule_validation_beats_qqq,1,validation=$1069.23; qqq=$1049.91,same rule must beat validation QQQ
same_rule_recent_beats_qqq,1,recent=$1531.90; qqq=$1124.19,same rule must beat recent OOS QQQ
no_new_semantic_or_regime_switch,1,new semantic score=0; regime switch=0,Task639 must only refine previously validated same-rule candidates
trading_promotion,0,research candidate only,"requires live-readable rule lock, source latency audit, and paper-shadow replay"
