metric,status,value,notes
verdict,PRIMARY_PASS,source_discovery_only,Discovery pass found viable non-newswire public sources.
deployment_readiness,DATA_INFRASTRUCTURE_ONLY_NOT_DEPLOYMENT_READY,false,No trading score order or deployment output.
strategy_acceptance,NOT_ACCEPTED,false,Data source discovery only.
wordpress_candidates_probed,observed,10,January 2016 date-filter probe.
wordpress_historical_rows_returned_sources,observed,7,CleanTechnica PV Magazine Semiconductor Engineering SecurityWeek Bitcoin Magazine 9to5Mac 9to5Google returned rows.
wordpress_blocked_or_rate_limited_sources,observed,2,VentureBeat returned 429 and Ars Technica returned 403.
rss_candidates_probed,observed,14,Crypto cyber energy commodity FX semiconductor and hardware RSS probes.
ap_sitemap_201601_urls,observed,6924,AP monthly sitemap returned public URL list for January 2016.
ap_sitemap_201601_relevant_keyword_sample,observed,115,Simple keyword sample count only not a production filter.
recommended_next_smoke,PRIMARY_PASS,rss_and_wordpress_subset,Smoke crypto energy cyber semiconductor WordPress historical candidates before regular collection.
direct_reuters_bloomberg,not_promoted,blocked,Reuters sitemap 401 and Bloomberg sitemap 403 in direct probe.
chrome_role,not_primary,fallback_verification_only,Use Chrome only when machine-readable routes fail or need visual evidence.
worldbank_news_api_probe,PRIMARY_PASS,total_63481,JSON API probe returned a large public news document surface; needs dedicated cursor backfill mode.
ecb_rss_probe,PRIMARY_PASS,15_items_each,ECB press and statistical press RSS feeds returned current items.
bis_rss_probe,PRIMARY_PASS,25_items_each,BIS press all and central bank speeches RDF feeds returned current items.
bank_of_england_rss_probe,PRIMARY_PASS,50_items_each,BoE news and speeches RSS feeds returned current items.
eia_press_rss_probe,PRIMARY_PASS,8_items,EIA press RSS returned current energy context items.
govinfo_rss_probe,PRIMARY_PASS,100_federal_register_items,GovInfo feeds page and Federal Register RSS are usable official policy surfaces; targeted API/bulk scope required.
defense_public_rss_probe,PRIMARY_PASS,10_items_each,Defense public press and contracts RSS feeds returned current items.
