metric,value,status,notes
decision_status,PRIMARY_PASS,PRIMARY_PASS,Market macro public news collector implemented and real smoke succeeded.
strategy_acceptance,NOT_ACCEPTED,PRIMARY_PASS,Data infrastructure only; no trading signal or deployment claim.
live_sources,22,PRIMARY_PASS,CNBC NPR PBS ABC CBS Census Yahoo Finance NYT Fox Business Investing BBC FT MarketWatch Nasdaq Trader plus promoted crypto energy commodity cyber and semiconductor RSS sources.
live_sources_v017,37,PRIMARY_PASS,Collector v0.1.7 default live watcher adds Axios The Verge WIRED SiliconANGLE SecurityWeek Utility Dive Supply Chain Dive BioPharma Dive FierceBiotech STAT Breaking Defense Defense News SpaceNews FreightWaves and The Loadstar.
live_smoke_rows,120,PRIMARY_PASS,Real smoke produced 120 rows with 0 L1 blocked.
expansion_smoke_rows_v2,403,PRIMARY_PASS,Expanded real smoke produced 403 rows from 14 sources with 0 L1 blocked.
expansion_smoke_l1_context_ready_v2,403,PRIMARY_PASS,All expanded smoke rows were context-ready and ticker mapping was not required.
production_first_cycle_rows,250,PRIMARY_PASS,Background watcher first cycle produced 250 L1-ready context rows.
production_latest_rows,2338,PRIMARY_PASS,Latest status after 14-source watcher restart reports 2338 L1-ready context rows and 0 blocked.
guardian_smoke_rows,50,PRIMARY_PASS,2016 Guardian API smoke produced 50 historical rows.
guardian_first_batch_rows,400,PRIMARY_PASS,Background Guardian backfill first batch produced 400 rows.
guardian_latest_rows,2800,PRIMARY_PASS,Latest Guardian backfill status reports 2800 L1-ready context rows and 0 blocked.
cnbc_backfill_smoke_rows_v4,3,PRIMARY_PASS,CNBC 2016 sitemap/article-meta smoke produced 3 filtered context-ready rows and 0 blocked.
cnbc_backfill_source_time_certified,0,PRIMARY_PASS,CNBC historical rows are diagnostic context only and keep source_time_certified_flag=0.
cnbc_backfill_usable_for_historical_backtest,0,PRIMARY_PASS,CNBC historical rows are not marked backtest-ready without full source-time certification.
combined_backfill_latest_rows,4501,PRIMARY_PASS,Latest market/macro backfill status after Guardian+CNBC restart reports 4501 context-ready rows and 0 blocked.
wikimedia_backfill_smoke_rows_v3,20,PRIMARY_PASS,Wikimedia Current Events 2016 monthly HTML smoke produced 20 filtered context-ready rows and 0 blocked.
wikimedia_backfill_source_time_certified,0,PRIMARY_PASS,Wikimedia historical rows are diagnostic context only and keep source_time_certified_flag=0.
wikimedia_backfill_usable_for_historical_backtest,0,PRIMARY_PASS,Wikimedia historical rows are not marked backtest-ready without full source-time certification.
combined_backfill_latest_rows_after_wikimedia,6342,PRIMARY_PASS,Latest market/macro backfill status after Guardian+CNBC+Wikimedia restart reported 6342 context-ready rows and 0 blocked.
combined_backfill_latest_rows_before_common_crawl_restart,7265,PRIMARY_PASS,Market/macro backfill status before Common Crawl restart reported 7265 context-ready rows and 0 blocked.
combined_backfill_latest_rows_after_common_crawl_restart,10769,PRIMARY_PASS,Latest market/macro backfill status after Guardian+CNBC+Wikimedia+Common-Crawl restart reports 10769 context-ready rows and 0 blocked.
production_latest_rows_after_cnn_common_crawl_update,3564,PRIMARY_PASS,Latest status after CNN Money Common Crawl update reports 3564 market/macro live context-ready rows and 0 blocked.
combined_backfill_latest_rows_after_cnn_common_crawl_update,18448,PRIMARY_PASS,Latest status after CNN Money Common Crawl update reports 18448 market/macro backfill context-ready rows and 0 blocked.
wordpress_backfill_smoke_rows_v2,80,PRIMARY_PASS,The Hill and TechCrunch WordPress REST 2016 archive smoke produced 80 context-ready rows and 0 blocked.
thehill_production_rows_after_restart,222,PRIMARY_PASS,Production market/macro backfill worker reported 222 The Hill WordPress REST rows after restart.
techcrunch_production_rows_after_restart,221,PRIMARY_PASS,Production market/macro backfill worker reported 221 TechCrunch WordPress REST rows after restart.
combined_backfill_latest_rows_after_wordpress_update,22035,PRIMARY_PASS,Latest status after WordPress REST update reports 22035 market/macro backfill context-ready rows and 0 blocked across 40/721 units.
ev_wordpress_backfill_smoke_rows_v1,80,PRIMARY_PASS,Electrek and Teslarati WordPress REST 2016 archive smoke produced 80 context-ready rows and 0 blocked.
ev_wordpress_sources_in_worker,2,PRIMARY_PASS,Electrek and Teslarati are included in the 8-source production market/macro backfill worker.
combined_backfill_latest_rows_after_ev_wordpress_update,22555,PRIMARY_PASS,Latest status after EV WordPress update reports 22555 market/macro backfill context-ready rows and 0 blocked before EV sources reached production cycle.
external_rss_smoke_sources_v1,10,PRIMARY_PASS,External RSS smoke tested 10 candidates; 8 exported rows and 2 were not promoted after robots blocking.
external_rss_promoted_sources_v1,8,PRIMARY_PASS,Cointelegraph Decrypt CryptoSlate OilPrice Mining.com copper BleepingComputer KrebsOnSecurity and Semiconductor Engineering RSS are promoted to default live collection.
external_rss_smoke_rows_v1,122,PRIMARY_PASS,Promoted external RSS sources produced 122 context-ready rows with 0 L1 blocked.
external_rss_not_promoted_v1,eia_today_energy_rss;theregister_public_atom,PRIMARY_PASS,EIA Today in Energy and The Register were excluded from default live collection after collector robots gate blocked their feed URLs.
external_wordpress_backfill_smoke_sources_v1,5,PRIMARY_PASS,Semiconductor Engineering Bitcoin Magazine 9to5Mac 9to5Google and PV Magazine USA WordPress REST sources exported rows in 2016-01 smoke.
external_wordpress_backfill_smoke_rows_v1,138,PRIMARY_PASS,External WordPress REST 2016-01 smoke produced 138 context-ready rows and 0 blocked.
external_wordpress_backfill_promoted_sources_v1,5,PRIMARY_PASS,Five external WordPress REST sources are promoted to default historical backfill.
default_backfill_sources_after_external_update,13,PRIMARY_PASS,Backfill launcher default now includes Guardian CNBC Wikimedia Common Crawl The Hill TechCrunch Electrek Teslarati Semiconductor Engineering Bitcoin Magazine 9to5Mac 9to5Google and PV Magazine USA.
default_backfill_sources_v017,17,PRIMARY_PASS,Collector v0.1.7 default backfill adds AP monthly sitemap SpaceNews WordPress Carbon Brief WordPress and Robot Report WordPress; CleanTechnica is excluded after date-filter-unsafe smoke.
non_newswire_v2_rss_smoke_sources,15,PRIMARY_PASS,All 15 v2 RSS candidates exported rows in governed smoke.
non_newswire_v2_rss_smoke_rows,75,PRIMARY_PASS,V2 RSS smoke produced 75 context-ready rows and 0 blocked.
non_newswire_v2_backfill_smoke_sources,4,PRIMARY_PASS,AP monthly sitemap SpaceNews WordPress Carbon Brief WordPress and Robot Report WordPress exported rows in January 2016 smoke.
non_newswire_v2_backfill_smoke_rows,17,PRIMARY_PASS,V2 backfill smoke produced 17 context-ready rows and 0 blocked.
non_newswire_v2_l2_smoke_facts,92,PRIMARY_PASS,V2 RSS and backfill smokes ingested to isolated L2 DB as 92 news facts.
production_latest_rows_after_external_restart,5562,PRIMARY_PASS,Latest status after expanded worker restart reports 5562 market/macro live context-ready rows and 0 blocked across 22/22 sources.
combined_backfill_latest_rows_after_external_restart,31264,PRIMARY_PASS,Latest status after expanded worker restart reports 31264 market/macro backfill context-ready rows and 0 blocked while running the 13-source plan.
