path,current_role,recommended_archive_location,reason,active_replacement,reference_required
docs/reports/task_406_deterministic_decision_rebuild,diagnostic_backtests,docs/archive/reports/2026_06/task_406_deterministic_decision_rebuild,Large archive candidate already listed in tasks/archive_candidate_registry.csv,Current acceptance/replay evidence in Task599 and Task602 series,TRUE
docs/reports/task_401_forward_live_canonical_multifactor_decision_layer,diagnostic_backtests,docs/archive/reports/2026_06/task_401_forward_live_canonical_multifactor_decision_layer,Large archive candidate already listed in tasks/archive_candidate_registry.csv,Current acceptance program Task599,TRUE
docs/reports/task_407_raw_native_vectorized_rebuild,diagnostic_backtests,docs/archive/reports/2026_06/task_407_raw_native_vectorized_rebuild,Large archive candidate already listed in tasks/archive_candidate_registry.csv,Current replay evidence Task602 series,TRUE
docs/reports/task_487_regime_phase_target_validation,superseded_reports,docs/archive/reports/2026_06/task_487_regime_phase_target_validation,Archive candidate already listed in tasks/archive_candidate_registry.csv,Current regime chain Task489 and later,TRUE
docs/reports/task_480_symbol_structure_continuation_diagnostics,superseded_reports,docs/archive/reports/2026_06/task_480_symbol_structure_continuation_diagnostics,Archive candidate already listed in tasks/archive_candidate_registry.csv,Current continuation chain Task491 and later,TRUE
docs/reports/task_396_forward_live_cost_constrained_validation,diagnostic_backtests,docs/archive/reports/2026_06/task_396_forward_live_cost_constrained_validation,Archive candidate already listed in tasks/archive_candidate_registry.csv,Current cost/execution realism evidence Task508 and later,TRUE
graphify-out,old_gpt_loops,docs/archive/graphify/2026_04_graphify_out,Graphify report is stale for current paper-ops governance,docs/active/ACTIVE_SSOT_INDEX.md plus current operating model,TRUE
docs/obsidian,duplicate_navigation_docs,docs/archive/navigation/obsidian_2026_06_only_if_user_approves,Obsidian is useful for human navigation but should not be default Codex scope,docs/active/README_ACTIVE.md,TRUE
docs/reports/task_595_feedback_integrated_development_plan,superseded_reports,docs/archive/reports/2026_06/task_595_feedback_integrated_development_plan,Current operating model says Task595 is historical and superseded by Task598 when conflicts exist,Task598 and current operating model,TRUE
docs/reports/task_596_daily_feedback_complete_application,superseded_reports,docs/archive/reports/2026_06/task_596_daily_feedback_complete_application,Current operating model says Task596 is historical and not latest diagnostic board,Task598 and current operating model,TRUE

