metric,value,status,notes
verdict,PRIMARY_PASS,PRIMARY_PASS,Non-newswire source expansion search found actionable RSS sitemap and WordPress REST candidates.
strategy_acceptance,NOT_ACCEPTED,NOT_ACCEPTED,No trading score order or deployment gate is opened.
deployment_readiness,DATA_INFRASTRUCTURE_ONLY_NOT_DEPLOYMENT_READY,PRIMARY_PASS,This is source discovery and collector planning only.
rss_candidates_with_items,18,PRIMARY_PASS,Public RSS candidates returned current items across macro policy tech cyber energy supply chain biotech defense space and logistics.
promoted_rss_smoke_sources,15,PRIMARY_PASS,All 15 promoted RSS live candidates exported rows in governed smoke.
promoted_rss_smoke_rows,75,PRIMARY_PASS,Promoted RSS smoke produced 75 L1 context-ready rows and 0 blocked rows.
wordpress_2016_candidates_allowed,3,PRIMARY_PASS,SpaceNews CarbonBrief and Robot Report are promoted; CleanTechnica was excluded after smoke showed date-filter-unsafe latest rows.
promoted_backfill_smoke_sources,4,PRIMARY_PASS,AP monthly sitemap SpaceNews WordPress CarbonBrief WordPress and Robot Report WordPress exported rows in governed January 2016 smoke.
promoted_backfill_smoke_rows,17,PRIMARY_PASS,Promoted backfill smoke produced 17 L1 context-ready rows and 0 blocked rows.
ap_201601_sitemap_urls,3294,PRIMARY_PASS,AP monthly sitemap is the largest non-newswire historical archive candidate found in this pass.
l2_smoke_news_facts,92,PRIMARY_PASS,Combined RSS and backfill smoke ingested into isolated L2 DB as 92 news facts.
background_workers_restarted,2,PRIMARY_PASS,Market macro live watcher restarted as PID 25144 with 37 sources and backfill restarted as PID 24508 with 17 sources.
blocked_or_do_not_promote,4,PRIMARY_PASS,Politico RSS sitemap returned 403 and SecurityWeek STAT WordPress routes were blocked by robots for wp-json.
recommended_next_step,governed_smoke_before_promotion,PRIMARY_PASS,Add only the allowed candidates through bounded L0 smoke and L2 diagnostic ingestion.
